stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20230801,85700,83100,86200,82500,395080,33399160200,00,0.00,N,2,2200,
20230731,83500,84200,84700,83000,197871,16543665200,00,0.00,N,5,-200,
20230728,83700,84100,84500,82300,291513,24305154100,00,0.00,N,5,-1800,
20230727,85500,85900,87200,84900,301155,25903380800,00,0.00,N,2,100,
20230726,85400,86400,86700,83600,310244,26327410700,00,0.00,N,5,-1700,
20230725,87100,87100,87400,85800,116017,10048412700,00,0.00,N,5,-200,
20230724,87300,87800,87900,86000,164132,14306132900,00,0.00,N,5,-200,
20230721,87500,87000,87800,85200,173505,15059705700,00,0.00,N,3,0,
20230720,87500,86400,88100,85800,161778,14163182700,00,0.00,N,2,1100,
20230719,86400,86400,87000,85500,120996,10443384500,00,0.00,N,3,0,
20230718,86400,87200,87200,86300,105435,9128738000,00,0.00,N,2,100,
20230717,86300,86400,87500,86100,107922,9335112900,00,0.00,N,5,-1000,
20230714,87300,86100,87900,85600,226704,19772964100,00,0.00,N,2,2100,
20230713,85200,85700,86600,85000,251748,21583679600,00,0.00,N,5,-500,
20230712,85700,84800,85900,84600,221459,18910161400,00,0.00,N,2,300,
20230711,85400,85800,85800,84400,168615,14356722000,00,0.00,N,2,600,
20230710,84800,83900,85500,83000,202204,17136533000,00,0.00,N,2,2000,
20230707,82800,82800,83800,82200,191527,15864076600,00,0.00,N,3,0,
20230706,82800,85000,85100,82000,365131,30364196200,00,0.00,N,5,-2100,
20230705,84900,87200,87500,84500,277900,23653858300,00,0.00,N,5,-2600,
20230704,87500,89800,90700,87500,219345,19435561800,00,0.00,N,5,-2500,
20230703,90000,88100,90500,88100,210709,18970018500,00,0.00,N,2,2000,
20230630,88000,89000,89000,87100,199450,17523561100,00,0.00,N,5,-100,
20230629,88100,88500,89400,87900,161420,14315035900,00,0.00,N,5,-100,
20230628,88200,88800,89000,88100,107474,9517777100,00,0.00,N,5,-200,
20230627,88400,87600,88700,87600,144908,12769478300,00,0.00,N,2,300,
20230626,88100,88000,89100,87200,156637,13817158100,00,0.00,N,2,400,
20230623,87700,89000,90000,87600,132945,11782300000,00,0.00,N,5,-1700,
20230622,89400,89500,90200,88700,161753,14461907500,00,0.00,N,2,800,
20230621,88600,88000,89400,87500,132566,11777626400,00,0.00,N,2,700,
20230620,87900,88200,88600,87700,120789,10637233600,00,0.00,N,5,-300,
20230619,88200,88400,88800,87600,142194,12529023000,00,0.00,N,5,-500,
20230616,88700,89000,89500,88100,301490,26737153800,00,0.00,N,2,600,
20230615,88100,88800,89500,87700,183747,16269681400,00,0.00,N,5,-900,
20230614,89000,89900,90500,88700,161263,14409808000,00,0.00,N,5,-900,
20230613,89900,90700,90900,89400,175916,15852939000,00,0.00,N,5,-400,
20230612,90300,91200,91500,89600,135534,12245674400,00,0.00,N,5,-100,
20230609,90400,90700,91500,90200,164067,14878653800,00,0.00,N,5,-300,
20230608,90700,90200,91100,89100,240758,21806638900,00,0.00,N,2,500,
20230607,90200,89800,91300,89700,206879,18748804400,00,0.00,N,2,900,
20230605,89300,88600,89600,88000,130120,11599106500,00,0.00,N,2,900,
20230602,88400,87700,88500,86700,167915,14781876300,00,0.00,N,2,1600,
20230601,86800,86400,87700,86300,168848,14698171000,00,0.00,N,2,800,
20230531,86000,87500,88200,85700,545415,47082575900,00,0.00,N,5,-2100,
20230530,88100,87500,89000,86100,230434,20237245200,00,0.00,N,2,900,
20230526,87200,86800,87400,86600,122530,10659574800,00,0.00,N,5,-200,
20230525,87400,88400,89300,87200,223544,19659328100,00,0.00,N,5,-1700,
20230524,89100,88100,89300,87500,107185,9506122700,00,0.00,N,2,400,
20230523,88700,89400,89700,88300,127308,11307073000,00,0.00,N,5,-300,
20230522,89000,89700,90200,88600,137813,12299933500,00,0.00,N,5,-300,
20230519,89300,89000,90400,88800,209969,18773671500,00,0.00,N,5,-100,
20230518,89400,88100,89900,88100,141103,12539370600,00,0.00,N,2,700,
20230517,88700,87300,89500,87200,160528,14232470400,00,0.00,N,2,800,
20230516,87900,87300,88500,87300,88149,7756902300,00,0.00,N,5,-400,
20230515,88300,87700,88600,87300,128468,11314501200,00,0.00,N,5,-100,
20230512,88400,90600,90900,87400,200515,17709038800,00,0.00,N,5,-2600,
20230511,91000,91100,91600,90500,187528,17096876600,00,0.00,N,5,-100,
20230510,91100,90600,91700,90300,209121,19043141600,00,0.00,N,2,1000,
20230509,90100,90300,90700,89300,154353,13911035300,00,0.00,N,5,-100,
20230508,90200,89700,90700,89200,211902,19098998000,00,0.00,N,2,1100,
20230504,89100,88100,90000,87500,196087,17475671600,00,0.00,N,2,500,
20230503,88600,88400,89300,87600,204264,18048950000,00,0.00,N,3,0,
20230502,88600,86500,88900,86500,163799,14437954600,00,0.00,N,2,1200,
20230428,87400,86400,87900,86100,202180,17601792700,00,0.00,N,2,1100,
20230427,86300,86000,87200,85700,200721,17337701800,00,0.00,N,2,400,
20230426,85900,87000,87800,85500,149013,12853079300,00,0.00,N,5,-500,
20230425,86400,88300,88300,86000,175972,15252702000,00,0.00,N,5,-1300,
20230424,87700,88600,88600,87300,128127,11241820200,00,0.00,N,5,-1000,
20230421,88700,89700,90900,88000,260529,23150771900,00,0.00,N,5,-1600,
20230420,90300,91700,91700,89500,219034,19757390900,00,0.00,N,5,-1400,
20230419,91700,90500,92700,90400,265067,24295731910,00,0.00,N,2,700,
20230418,91000,88200,92300,88100,431912,39037246800,00,0.00,N,2,2600,
20230417,88400,91000,91400,88000,452965,40254381800,00,0.00,N,5,-3700,
