stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20200731,74000,73400,74400,72000,359103,26326987200,00,0.00,N,2,600,
20200730,73400,74200,74800,73000,208248,15363889700,00,0.00,N,5,-800,
20200729,74200,74200,75600,74000,335786,25037248600,00,0.00,N,5,-1600,
20200728,75800,73500,76200,73200,315872,23707071300,00,0.00,N,2,1500,
20200727,74300,72600,74600,72400,289475,21404475000,00,0.00,N,2,2200,
20200724,72100,71800,73000,71600,145534,10500779500,00,0.00,N,5,-500,
20200723,72600,72800,73100,71500,249194,18018489700,00,0.00,N,5,-600,
20200722,73200,71800,73800,71700,217777,15925201600,00,0.00,N,2,1000,
20200721,72200,71600,73000,71500,308056,22282060886,00,0.00,N,2,400,
20200720,71800,72400,72800,71500,134809,9710391800,00,0.00,N,5,-400,
20200717,72200,74000,74000,72100,166315,12077032700,00,0.00,N,5,-1200,
20200716,73400,72600,73700,72000,237423,17303055700,00,0.00,N,5,-200,
20200715,73600,72700,73800,71700,344404,25095121700,00,0.00,N,2,800,
20200714,72800,69600,73000,69200,395871,28367126900,00,0.00,N,2,2600,
20200713,70200,68000,70200,67500,288151,20000881700,00,0.00,N,2,2300,
20200710,67900,70600,70600,67200,407636,27690887100,00,0.00,N,5,-2200,
20200709,70100,69300,70200,68500,352074,24482029000,00,0.00,N,2,800,
20200708,69300,72000,72000,69100,365597,25550905500,00,0.00,N,5,-2000,
20200707,71300,72300,72300,71200,471517,33806446770,00,0.00,N,5,-700,
20200706,72000,72100,72400,71000,218439,15698493600,00,0.00,N,2,200,
20200703,71800,72100,72800,71100,240876,17246951046,00,0.00,N,5,-400,
20200702,72200,71400,72400,71300,199906,14368817584,00,0.00,N,2,800,
20200701,71400,71400,72400,71000,172651,12373867670,00,0.00,N,2,200,
20200630,71200,71600,72400,71000,361518,25927731690,00,0.00,N,5,-200,
