체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,37550,950,0,37550,1632594,1
15:57,37550,950,0,37550,1632593,10
15:55,37550,950,0,37550,1632583,1
15:54,37550,950,0,37550,1632582,2
15:53,37550,950,0,37550,1632580,63
15:51,37550,950,0,37550,1632517,40
15:50,37550,950,0,37550,1632477,21
15:49,37550,950,0,37550,1632456,64
15:48,37550,950,0,37550,1632392,52
15:47,37550,950,0,37550,1632340,7
15:46,37550,950,0,37550,1632333,6
15:45,37550,950,0,0,1632327,21
15:44,37550,950,0,37550,1632306,30
15:43,37550,950,0,37550,1632276,2
15:42,37550,950,0,37550,1632274,5
15:41,37550,950,0,37550,1632269,5
15:40,37550,950,0,37550,1632264,1266
15:30,37550,950,37600,37550,1630998,76658
15:19,37600,1000,37600,37550,1554340,8702
15:18,37600,1000,37600,37550,1545638,4049
15:17,37550,950,37600,37550,1541589,8467
15:16,37600,1000,37600,37550,1533122,4092
15:15,37600,1000,37600,37550,1529030,5312
15:14,37600,1000,37600,37550,1523718,3000
15:13,37550,950,37600,37550,1520718,3142
15:12,37550,950,37600,37550,1517576,1987
15:11,37550,950,37600,37550,1515589,2740
15:10,37550,950,37550,37500,1512849,17792
15:09,37500,900,37550,37500,1495057,2558
15:08,37500,900,37550,37500,1492499,1573
15:07,37500,900,37550,37500,1490926,2461
15:06,37500,900,37550,37500,1488465,3029
15:05,37550,950,37600,37550,1485436,9215
15:04,37500,900,37550,37500,1476221,2407
15:03,37550,950,37550,37500,1473814,1250
15:02,37500,900,37550,37500,1472564,940
15:01,37500,900,37550,37500,1471624,3103
15:00,37500,900,37550,37500,1468521,2770
14:59,37550,950,37550,37500,1465751,7817
14:58,37500,900,37550,37500,1457934,2007
14:57,37550,950,37550,37500,1455927,3321
14:56,37550,950,37550,37500,1452606,2375
14:55,37500,900,37550,37500,1450231,3920
14:54,37500,900,37550,37500,1446311,1101
14:53,37500,900,37550,37500,1445210,2109
14:52,37500,900,37550,37500,1443101,2092
14:51,37500,900,37550,37500,1441009,9942
14:50,37500,900,37550,37500,1431067,766
14:49,37500,900,37550,37500,1430301,1608
14:48,37550,950,37550,37500,1428693,2026
14:47,37500,900,37550,37500,1426667,752
14:46,37500,900,37550,37500,1425915,2042
14:45,37550,950,37550,37500,1423873,2895
14:44,37550,950,37600,37550,1420978,1378
14:43,37550,950,37600,37550,1419600,2247
14:42,37600,1000,37600,37550,1417353,2166
14:41,37550,950,37600,37550,1415187,2011
14:40,37550,950,37550,37500,1413176,1593
14:39,37550,950,37600,37550,1411583,2025
14:38,37550,950,37550,37500,1409558,2064
