체결시각,체결가,전일비,매도,매수,거래량,변동량
15:56,37100,100,0,37100,1334133,1
15:55,37100,100,0,37100,1334132,76
15:54,37100,100,0,37100,1334056,2611
15:53,37100,100,37100,0,1331445,2
15:52,37100,100,37100,0,1331443,11
15:51,37100,100,37100,0,1331432,274
15:50,37100,100,37100,0,1331158,19
15:49,37100,100,37100,0,1331139,3
15:48,37100,100,37100,0,1331136,304
15:47,37100,100,37100,0,1330832,38
15:46,37100,100,37100,0,1330794,2
15:45,37100,100,0,0,1330792,52
15:44,37100,100,37100,0,1330740,53
15:43,37100,100,37100,0,1330687,2
15:42,37100,100,37100,0,1330685,69
15:41,37100,100,37100,0,1330616,34
15:40,37100,100,37100,0,1330582,1485
15:30,37100,100,37150,37100,1329097,48580
15:19,37100,100,37100,37050,1280517,1814
15:18,37100,100,37100,37050,1278703,5269
15:17,37050,50,37100,37050,1273434,2154
15:16,37100,100,37150,37100,1271280,2093
15:15,37100,100,37150,37100,1269187,2975
15:14,37050,50,37100,37050,1266212,1863
15:13,37150,150,37150,37100,1264349,7262
15:12,37050,50,37100,37050,1257087,1730
15:11,37050,50,37100,37050,1255357,1080
15:10,37050,50,37100,37050,1254277,1944
15:09,37050,50,37100,37050,1252333,3559
15:08,37050,50,37100,37050,1248774,988
15:07,37100,100,37100,37050,1247786,1047
15:06,37100,100,37100,37050,1246739,3890
15:05,37100,100,37100,37050,1242849,2427
15:04,37100,100,37100,37050,1240422,2227
15:03,37100,100,37100,37050,1238195,3225
15:02,37050,50,37100,37050,1234970,2263
15:01,37050,50,37100,37050,1232707,1078
15:00,37050,50,37100,37050,1231629,2532
14:59,37050,50,37100,37050,1229097,2456
14:58,37050,50,37100,37050,1226641,1292
14:57,37050,50,37100,37050,1225349,1256
14:56,37050,50,37100,37050,1224093,1300
14:55,37100,100,37100,37050,1222793,3976
14:54,37050,50,37100,37050,1218817,1666
14:53,37050,50,37100,37050,1217151,2197
14:52,37050,50,37100,37050,1214954,4963
14:51,37100,100,37100,37050,1209991,3860
14:50,37050,50,37100,37050,1206131,1187
14:49,37100,100,37100,37050,1204944,748
14:48,37050,50,37100,37050,1204196,780
14:47,37050,50,37100,37050,1203416,1695
14:46,37100,100,37150,37100,1201721,8086
14:45,37100,100,37150,37100,1193635,1627
14:44,37100,100,37150,37100,1192008,1218
14:43,37100,100,37150,37100,1190790,4353
14:42,37100,100,37150,37100,1186437,600
14:41,37100,100,37150,37100,1185837,554
14:40,37100,100,37150,37100,1185283,1046
14:39,37100,100,37150,37100,1184237,2752
14:38,37150,150,37200,37150,1181485,674
14:37,37150,150,37200,37150,1180811,3772
14:36,37150,150,37200,37150,1177039,2105
14:35,37150,150,37200,37150,1174934,808
14:34,37200,200,37200,37150,1174126,1159
14:33,37150,150,37200,37150,1172967,1537
14:32,37150,150,37200,37150,1171430,1482
14:31,37150,150,37200,37150,1169948,1223
14:30,37150,150,37200,37150,1168725,2087
14:29,37150,150,37200,37150,1166638,1055
14:28,37150,150,37200,37150,1165583,1538
14:27,37150,150,37200,37150,1164045,592
14:26,37150,150,37200,37150,1163453,1239
14:25,37150,150,37200,37150,1162214,564
14:24,37200,200,37200,37150,1161650,19933
14:23,37100,100,37150,37100,1141717,376
14:22,37100,100,37150,37100,1141341,779
14:21,37100,100,37150,37100,1140562,2092
14:20,37100,100,37150,37100,1138470,8971
14:19,37150,150,37150,37100,1129499,897
14:18,37150,150,37150,37100,1128602,1008
14:17,37100,100,37150,37100,1127594,938
14:16,37150,150,37150,37100,1126656,928
14:15,37100,100,37150,37100,1125728,792
14:14,37150,150,37150,37100,1124936,787
14:13,37150,150,37150,37100,1124149,884
14:12,37100,100,37150,37100,1123265,1536
14:11,37100,100,37150,37100,1121729,813
14:10,37150,150,37150,37100,1120916,993
14:09,37100,100,37150,37100,1119923,1146
14:08,37150,150,37150,37100,1118777,780
14:07,37100,100,37150,37100,1117997,518
