stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20181130,33500,34050,34500,33500,43106,1469700450,00,0.00,N,5,-250,
20181129,33750,34000,34750,33750,74854,2573143600,00,0.00,N,2,100,
20181128,33650,32700,33900,32350,68533,2276923150,00,0.00,N,2,1250,
20181127,32400,32450,32850,32100,49614,1606639050,00,0.00,N,5,-50,
20181126,32450,32700,33000,32150,45243,1469950300,00,0.00,N,5,-550,
20181123,33000,32450,33400,32350,47421,1564471400,00,0.00,N,2,100,
20181122,32900,33250,33700,32750,44927,1484505500,00,0.00,N,5,-250,
20181121,33150,33450,33650,32550,39808,1319096150,00,0.00,N,5,-300,
20181120,33450,33100,34500,32700,61529,2079407800,00,0.00,N,5,-250,
20181119,33700,33050,33900,33000,49904,1675361850,00,0.00,N,2,350,
20181116,33350,34700,34900,33200,128543,4316245200,00,0.00,N,5,-1350,
20181115,34700,34850,35300,34100,71174,2457722400,00,0.00,N,5,-600,
20181114,35300,34500,36000,34050,106434,3747898000,00,0.00,N,2,800,
20181113,34500,33500,35000,33100,83179,2819306500,00,0.00,N,5,-350,
20181112,34850,34100,35550,33600,47880,1659657900,00,0.00,N,2,400,
20181109,34450,33500,34900,33400,45316,1556237450,00,0.00,N,2,250,
20181108,34200,34500,34950,33750,57270,1964108500,00,0.00,N,2,350,
20181107,33850,35300,35350,33500,56912,1965237350,00,0.00,N,5,-750,
20181106,34600,35400,36200,34350,49765,1752074550,00,0.00,N,5,-700,
20181105,35300,35400,35900,34650,39893,1399977650,00,0.00,N,5,-600,
20181102,35900,34800,36500,34700,81391,2911874200,00,0.00,N,2,1500,
20181101,34400,33400,36200,33200,172083,5975304650,00,0.00,N,2,1700,
20181031,32700,32900,33300,31900,53234,1731187050,00,0.00,N,5,-50,
20181030,32750,31500,33500,30500,152877,4885433850,00,0.00,N,2,100,
20181029,32650,36800,36950,31800,148687,5147992950,00,0.00,N,5,-4300,
20181026,36950,36800,38100,34850,144997,5293217000,00,0.00,N,5,-50,
20181025,37000,35450,37500,34550,218660,7813312550,00,0.00,N,2,850,
20181024,36150,35100,37400,35100,305673,11080418500,00,0.00,N,2,1950,
20181023,34200,33850,35400,33550,118410,4113009300,00,0.00,N,3,0,
20181022,34200,34800,34800,33800,56861,1933440100,00,0.00,N,5,-600,
20181019,34800,33500,35400,33300,55424,1909078200,00,0.00,N,2,750,
20181018,34050,35150,35850,33250,104574,3583608400,00,0.00,N,5,-1100,
20181017,35150,34300,36450,34150,97448,3437389450,00,0.00,N,2,1400,
20181016,33750,33450,34600,33400,46346,1582487400,00,0.00,N,2,450,
20181015,33300,34050,34050,33200,68425,2289398000,00,0.00,N,5,-750,
20181012,34050,32600,34350,31850,84527,2824869150,00,0.00,N,2,1350,
20181011,32700,34050,34550,32500,147165,4932287550,00,0.00,N,5,-2400,
20181010,35100,35950,36000,33600,90807,3183051000,00,0.00,N,5,-850,
20181008,35950,37400,37500,35950,144997,5348890300,00,0.00,N,5,-100,
20181005,36050,33950,36100,33150,157784,5531546550,00,0.00,N,2,1800,
20181004,34250,35400,35950,33600,172314,5892078000,00,0.00,N,5,-1000,
20181002,35250,38400,38650,34700,168735,6113045250,00,0.00,N,5,-2900,
20181001,38150,37750,39150,37200,109459,4154240650,00,0.00,N,5,-250,
20180928,38400,36800,38900,36150,161850,6134425950,00,0.00,N,2,1350,
20180927,37050,37500,37500,35800,123144,4498685950,00,0.00,N,5,-150,
20180921,37200,38050,39600,36100,224719,8453636450,00,0.00,N,5,-150,
20180920,37350,34800,37350,34500,205873,7465864150,00,0.00,N,2,2550,
20180919,34800,35200,36550,33950,193805,6785273600,00,0.00,N,5,-200,
20180918,35000,33700,36650,33700,476862,16815215750,00,0.00,N,2,1400,
20180917,33600,31500,33600,30900,265318,8629110850,00,0.00,N,2,1900,
20180914,31700,29750,32800,29750,346660,10752457550,00,0.00,N,2,1950,
20180913,29750,28450,29750,28150,99237,2880058600,00,0.00,N,2,1300,
20180912,28450,29500,29500,28150,93047,2652018600,00,0.00,N,5,-900,
20180911,29350,29050,29450,28800,64355,1872357450,00,0.00,N,2,300,
20180910,29050,30000,30000,28700,93235,2719319400,00,0.00,N,5,-1000,
20180907,30050,29200,30050,29150,103295,3078686950,00,0.00,N,2,550,
20180906,29500,28350,30000,28300,204521,6053102550,00,0.00,N,2,1000,
20180905,28500,28500,28850,28150,104072,2969654400,00,0.00,N,2,550,
20180904,27950,27900,28200,27300,47324,1311926400,00,0.00,N,3,0,
20180903,27950,27600,28350,27500,61338,1711769250,00,0.00,N,3,0,
20180831,27950,27000,28200,26600,110902,3074440800,00,0.00,N,2,850,
20180830,27100,26500,27250,25950,118482,3141905900,00,0.00,N,2,650,
20180829,26450,26700,26750,26300,66019,1748345500,00,0.00,N,5,-100,
20180828,26550,27400,27500,26250,85448,2280743800,00,0.00,N,5,-600,
20180827,27150,27400,27750,26900,117389,3209629300,00,0.00,N,5,-250,
20180824,27400,26400,27900,26400,121937,3345969350,00,0.00,N,2,1000,
20180823,26400,26000,26950,25850,134371,3560685000,00,0.00,N,2,550,
20180822,25850,26100,26250,25750,87562,2273395000,00,0.00,N,5,-100,
20180821,25950,27200,27200,25650,249432,6492233800,00,0.00,N,5,-1200,
20180820,27150,29050,29050,27150,167533,4656663150,00,0.00,N,5,-1700,
20180817,28850,28500,29050,28500,63301,1818322300,00,0.00,N,2,50,
20180816,28800,29400,29400,28200,93216,2660526750,00,0.00,N,5,-600,
20180814,29400,29600,29950,29350,60640,1794831400,00,0.00,N,5,-400,
20180813,29800,30300,30750,29650,78584,2365351800,00,0.00,N,5,-600,
20180810,30400,29950,30750,29600,115758,3506689200,00,0.00,N,2,600,
20180809,29800,30500,30500,29450,85264,2539901650,00,0.00,N,5,-500,
20180808,30300,30450,30750,30100,97684,2976464200,00,0.00,N,3,0,
20180807,30300,30200,30750,29700,109855,3307033750,00,0.00,N,2,300,
20180806,30000,30200,30550,29550,85050,2555636650,00,0.00,N,5,-200,
20180803,30200,29900,31300,29600,299028,9096345750,00,0.00,N,2,600,
20180802,29600,28600,30050,28350,258694,7626578850,00,0.00,N,2,1100,
