체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,150500,3000,150500,0,40947,3
15:55,150500,3000,150500,0,40944,3
15:49,150500,3000,150500,0,40941,1
15:47,150500,3000,150500,0,40940,1
15:42,150500,3000,150500,0,40939,6
15:41,150500,3000,150500,0,40933,2
15:40,150500,3000,150500,0,40931,246
15:30,150500,3000,150500,150400,40685,1131
15:19,150600,2900,150700,150600,39554,244
15:18,150800,2700,150800,150700,39310,167
15:17,150800,2700,150900,150800,39143,114
15:16,150900,2600,150900,150800,39029,36
15:15,150800,2700,150900,150800,38993,19
15:14,150700,2800,150900,150700,38974,18
15:13,150700,2800,150900,150700,38956,153
15:12,150900,2600,150900,150800,38803,14
15:11,150800,2700,150900,150800,38789,67
15:10,150700,2800,150800,150700,38722,31
15:09,150800,2700,150800,150700,38691,43
15:08,150800,2700,150800,150700,38648,182
15:07,151000,2500,151000,150900,38466,17
15:06,150900,2600,150900,150800,38449,35
15:05,150800,2700,150900,150800,38414,153
15:04,150900,2600,151000,150900,38261,19
15:03,150900,2600,151000,150900,38242,67
15:02,151000,2500,151100,151000,38175,23
15:01,150900,2600,151100,150900,38152,11
15:00,150900,2600,151100,150900,38141,16
14:59,151100,2400,151100,150900,38125,30
14:58,151000,2500,151100,151000,38095,11
14:57,151000,2500,151100,151000,38084,26
14:56,151000,2500,151100,151000,38058,168
14:55,151000,2500,151100,151000,37890,18
14:54,151000,2500,151100,151000,37872,15
14:53,151100,2400,151100,151000,37857,56
14:52,151000,2500,151200,151000,37801,272
14:51,151200,2300,151200,151100,37529,45
14:50,151000,2500,151100,151000,37484,703
14:49,150900,2600,151000,150900,36781,44
14:48,151000,2500,151000,150900,36737,143
14:47,150800,2700,150900,150800,36594,15
14:46,150900,2600,150900,150800,36579,11
14:45,150800,2700,150900,150800,36568,20
14:44,150900,2600,150900,150800,36548,161
14:43,150700,2800,150800,150700,36387,29
14:42,150800,2700,150800,150700,36358,52
14:41,150800,2700,150800,150700,36306,28
14:40,150600,2900,150700,150600,36278,15
14:39,150600,2900,150700,150600,36263,13
14:38,150700,2800,150700,150600,36250,11
14:37,150500,3000,150700,150500,36239,289
14:36,150600,2900,150600,150500,35950,124
14:35,150500,3000,150600,150500,35826,416
14:34,150400,3100,150500,150300,35410,68
14:33,150300,3200,150400,150300,35342,6
14:32,150400,3100,150400,150300,35336,23
14:31,150400,3100,150400,150300,35313,119
14:30,150400,3100,150500,150400,35194,8
14:29,150400,3100,150500,150400,35186,9
14:28,150400,3100,150500,150400,35177,49
14:27,150300,3200,150400,150300,35128,10
14:26,150400,3100,150400,150300,35118,19
14:25,150300,3200,150400,150300,35099,7
14:24,150300,3200,150400,150300,35092,4
14:23,150300,3200,150400,150300,35088,27
14:22,150400,3100,150400,150300,35061,3
14:21,150300,3200,150400,150300,35058,41
14:20,150200,3300,150300,150200,35017,182
14:19,150300,3200,150300,150200,34835,5
14:18,150200,3300,150300,150200,34830,24
14:17,150300,3200,150400,150300,34806,63
14:16,150300,3200,150400,150300,34743,76
14:15,150300,3200,150400,150300,34667,24
14:14,150300,3200,150400,150300,34643,4
14:13,150400,3100,150400,150300,34639,9
14:12,150300,3200,150400,150300,34630,24
14:11,150400,3100,150400,150300,34606,16
14:10,150300,3200,150400,150300,34590,16
14:09,150300,3200,150300,150200,34574,14
14:08,150200,3300,150300,150200,34560,7
14:07,150300,3200,150300,150200,34553,3
14:06,150200,3300,150300,150200,34550,123
14:05,150200,3300,150300,150200,34427,13
14:04,150300,3200,150300,150200,34414,20
14:03,150300,3200,150300,150200,34394,37
14:02,150300,3200,150300,150200,34357,4
14:01,150200,3300,150300,150200,34353,17
14:00,150300,3200,150300,150200,34336,27
13:59,150200,3300,150300,150200,34309,13
13:58,150200,3300,150300,150200,34296,15
13:57,150300,3200,150300,150200,34281,75
13:56,150300,3200,150400,150300,34206,6
13:55,150300,3200,150400,150300,34200,22
13:54,150300,3200,150400,150300,34178,58
13:53,150400,3100,150400,150300,34120,7
13:52,150400,3100,150400,150300,34113,9
13:51,150300,3200,150400,150300,34104,5
13:50,150300,3200,150400,150200,34099,4
