체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,155000,8100,155000,0,106493,1
15:57,155000,8100,155000,0,106492,4
15:56,155000,8100,155000,0,106488,14
15:55,155000,8100,155000,0,106474,52
15:54,155000,8100,155000,0,106422,54
15:51,155000,8100,155000,0,106368,31
15:50,155000,8100,155000,0,106337,10
15:48,155000,8100,155000,0,106327,1
15:47,155000,8100,155000,0,106326,1
15:46,155000,8100,155000,0,106325,23
15:45,155000,8100,0,0,106302,5
15:44,155000,8100,155000,0,106297,55
15:43,155000,8100,155000,0,106242,3
15:42,155000,8100,155000,0,106239,46
15:41,155000,8100,155000,0,106193,151
15:40,155000,8100,155000,0,106042,285
15:30,155000,8100,155000,154900,105757,5856
15:19,155300,7800,155400,155300,99901,761
15:18,155400,7700,155400,155300,99140,295
15:17,155400,7700,155500,155300,98845,488
15:16,155400,7700,155500,155400,98357,993
15:15,155400,7700,155400,155300,97364,2288
15:14,155700,7400,155700,155600,95076,509
15:13,155500,7600,155500,155400,94567,367
15:12,155600,7500,155600,155500,94200,462
15:11,155700,7400,155700,155600,93738,289
15:10,155500,7600,155500,155400,93449,1589
15:09,156100,7000,156100,156000,91860,243
15:08,155900,7200,155900,155800,91617,228
15:07,155900,7200,156000,155800,91389,628
15:06,156000,7100,156000,155900,90761,399
15:05,156000,7100,156000,155900,90362,533
15:04,155900,7200,156000,155900,89829,199
15:03,156000,7100,156100,156000,89630,677
15:02,155900,7200,155900,155800,88953,544
15:01,155700,7400,155700,155600,88409,2157
15:00,156300,6800,156400,156300,86252,1216
14:59,156700,6400,156700,156600,85036,282
14:58,156700,6400,156700,156600,84754,493
14:57,156700,6400,156700,156600,84261,740
14:56,156800,6300,156900,156800,83521,343
14:55,156800,6300,156800,156700,83178,427
14:54,156800,6300,156800,156700,82751,281
14:53,156800,6300,156900,156800,82470,467
14:52,157000,6100,157000,156900,82003,409
14:51,156900,6200,157000,156900,81594,2210
14:50,157300,5800,157300,157200,79384,349
14:49,157300,5800,157300,157200,79035,1210
14:48,157500,5600,157500,157400,77825,219
14:47,157600,5500,157600,157500,77606,51
14:46,157500,5600,157600,157400,77555,224
14:45,157500,5600,157600,157500,77331,139
14:44,157400,5700,157500,157400,77192,504
14:43,157500,5600,157500,157400,76688,1452
14:42,157500,5600,157600,157500,75236,125
14:41,157700,5400,157700,157600,75111,388
14:40,157600,5500,157700,157600,74723,123
14:39,157600,5500,157700,157600,74600,79
14:38,157600,5500,157700,157600,74521,177
14:37,157700,5400,157700,157600,74344,154
14:36,157700,5400,157700,157600,74190,389
14:35,157700,5400,157700,157600,73801,131
14:34,157600,5500,157700,157600,73670,548
14:33,157900,5200,157900,157800,73122,52
14:32,157800,5300,157900,157700,73070,177
14:31,157700,5400,157800,157700,72893,103
14:30,158000,5100,158000,157800,72790,241
14:29,158000,5100,158000,157900,72549,324
14:28,157900,5200,157900,157800,72225,134
14:27,157800,5300,157900,157800,72091,158
14:26,157800,5300,157900,157800,71933,483
14:25,158000,5100,158000,157900,71450,86
14:24,158000,5100,158000,157900,71364,160
14:23,157900,5200,158000,157900,71204,115
14:22,158000,5100,158100,158000,71089,217
14:21,158100,5000,158100,158000,70872,72
14:20,158000,5100,158100,158000,70800,273
14:19,157900,5200,157900,157800,70527,231
14:18,157900,5200,158100,157900,70296,584
14:17,158000,5100,158100,158000,69712,183
14:16,158100,5000,158200,158100,69529,135
14:15,158200,4900,158300,158200,69394,55
14:14,158200,4900,158200,158100,69339,180
14:13,158200,4900,158200,158100,69159,57
14:12,158100,5000,158200,158100,69102,154
14:11,158100,5000,158200,158000,68948,394
14:10,158000,5100,158000,157900,68554,145
14:09,157900,5200,158000,157900,68409,48
14:08,157900,5200,158000,157900,68361,201
14:07,157800,5300,157900,157800,68160,157
14:06,157900,5200,158000,157900,68003,249
14:05,158000,5100,158000,157900,67754,117
