Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-04-02,49000,49220,48500,48540,142313,-0.0138155221454693,30.102040816326536,0.0,0
2018-04-03,47880,48140,47280,48120,255365,-0.0086526576019777,27.69607843137254,0.0,0
2018-04-04,48160,48260,46920,46920,247684,-0.0249376558603491,24.72647702407002,0.0,1
2018-04-05,47400,49380,47340,48740,264912,0.0387894288150043,38.63636363636364,0.2533531491757191,0
2018-04-06,48000,48580,47400,48400,250654,-0.0069757899056216,38.85714285714286,0.2573743976888121,1
2018-04-09,48260,49440,48200,49200,199008,0.0165289256198346,40.77490774907749,0.2923043570977447,0
2018-04-10,48540,49220,48040,48880,219687,-0.0065040650406503,40.10889292196007,0.2801736360824641,0
2018-04-11,49900,49900,48600,48860,201022,-0.0004091653027823,35.852713178294564,0.2424335561421131,1
2018-04-12,49440,49440,48880,49000,249325,0.0028653295128939,45.71428571428572,0.4987876067832751,1
2018-04-13,49600,50180,49400,49800,205566,0.0163265306122448,47.22222222222223,0.6741558414522442,1
2018-04-16,50320,50600,49860,50340,157549,0.0108433734939759,52.02702702702703,1.0,0
2018-04-17,50240,50540,49820,49980,155440,-0.0071513706793802,58.040201005025125,1.0,1
2018-04-18,51000,51360,50580,51360,269252,0.027611044417767,62.888888888888886,1.0,1
2018-04-19,52000,52980,51540,52780,343811,0.0276479750778815,67.3828125,1.0,0
2018-04-20,51800,52260,51420,51620,235220,-0.021978021978022,64.36567164179104,0.9292686344350544,1
2018-04-23,51000,52080,51000,51900,232380,0.0054242541650522,67.86389413988658,1.0,0
2018-04-24,51840,51860,50080,50460,315406,-0.0277456647398843,66.35859519408503,0.9529758384232164,0
2018-04-25,49220,50500,49220,50400,332292,-0.0011890606420927,59.16114790286976,0.7281341713865963,1
2018-04-26,50420,52160,50400,52140,360931,0.0345238095238096,67.87762906309752,1.0,1
2018-04-27,53380,53639,52440,53000,606216,0.0164940544687379,68.06083650190114,1.0,0
2018-04-30,0,0,0,53000,0,0.0,70.19607843137256,1.0,0
2018-05-02,0,0,0,53000,0,0.0,70.33398821218074,1.0,0
2018-05-03,0,0,0,53000,0,0.0,69.9203187250996,0.9821013466793984,0
2018-05-04,53000,53900,51800,51900,39565391,-0.020754716981132,60.154738878143135,0.4439683773245442,1
2018-05-08,52600,53200,51900,52600,23104720,0.0134874759152214,60.76190476190476,0.2213885526907007,0
2018-05-09,52600,52800,50900,50900,16128305,-0.0323193916349809,53.88513513513514,0.0,1
2018-05-10,51700,51700,50600,51600,13905263,0.0137524557956778,51.0752688172043,0.0,0
2018-05-11,52000,52200,51200,51300,10314997,-0.0058139534883721,42.62948207171315,0.0,0
2018-05-14,51000,51100,49900,50100,14909272,-0.023391812865497,42.460317460317455,0.0,0
2018-05-15,50200,50400,49100,49200,18709146,-0.0179640718562874,37.38317757009346,0.0,1
2018-05-16,49200,50200,49150,49850,15918683,0.0132113821138211,46.92230070635722,0.2894958561073962,0
2018-05-17,50300,50500,49400,49400,10365440,-0.0090270812437311,45.14563106796117,0.235577011509177,1
2018-05-18,49900,49900,49350,49500,6706570,0.0020242914979757,34.75750577367205,0.0,1
2018-05-21,49650,50200,49100,50000,9020998,0.0101010101010101,31.927710843373504,0.0,1
2018-05-23,50600,52000,50400,51800,17095490,0.036,44.05940594059406,0.3158779222657404,0
2018-05-24,52000,52000,51100,51400,8289275,-0.0077220077220077,42.38095238095238,0.2751388262190534,1
2018-05-25,51000,52800,50800,52700,15207266,0.0252918287937742,48.72881355932204,0.5826798128436926,0
2018-05-28,52500,53000,52000,52300,9787820,-0.0075901328273244,51.8018018018018,0.689254258835221,0
2018-05-29,52200,52500,51300,51300,8480437,-0.0191204588910134,44.29824561403508,0.5633873357041684,0
2018-05-30,51300,51500,49100,49500,20498098,-0.0350877192982456,43.91304347826088,0.6030631871393632,1
2018-05-31,50400,50800,49850,50700,63491109,0.0242424242424241,46.25,0.7206512834516656,1
2018-06-01,50500,51700,49950,51300,13038499,0.0118343195266272,50.0,0.9093391589295466,0
2018-06-04,50800,51200,50700,51100,9767171,-0.0038986354775828,54.42477876106194,1.0,1
2018-06-05,51100,51400,50400,51300,9144100,0.0039138943248533,59.905660377358494,1.0,0
2018-06-07,51800,51800,50500,50600,13590016,-0.01364522417154,53.52112676056338,0.7718012319294598,0
2018-06-08,50200,50400,49600,49650,16951706,-0.0187747035573122,51.12107623318386,0.6860175856167036,1
2018-06-11,49750,50300,49350,49900,10571312,0.0050352467270895,51.769911504424776,0.7092085371356048,0
2018-06-12,49700,49800,49250,49400,12110569,-0.0100200400801603,47.34513274336283,0.2832675079909168,0
2018-06-14,49000,49000,48200,48200,20971729,-0.0242914979757085,33.177570093457945,0.0,0
2018-06-15,48500,48700,47650,47650,17080892,-0.0114107883817426,32.718894009216584,0.0,0
2018-06-18,47600,47650,46200,46600,16661870,-0.0220356768100734,21.22641509433963,0.0,1
2018-06-19,47200,47350,46500,47000,15217971,0.0085836909871244,25.0,0.0975609756097559,0
2018-06-20,47450,47600,46850,47000,12959316,0.0,27.604166666666657,0.1648882113821134,1
2018-06-21,47900,47900,47050,47050,10015541,0.001063829787234,34.39490445859873,0.3404536274662109,1
2018-06-22,47000,47250,46200,47250,10298006,0.004250797024442,24.81751824817519,0.0928431547089194,0
2018-06-25,47050,47050,46150,46650,10587711,-0.0126984126984126,16.058394160583944,0.0,1
2018-06-26,45900,47300,45900,47000,11223166,0.007502679528403,20.714285714285708,0.1061843064669917,1
2018-06-27,47450,48500,47000,47950,15274752,0.0202127659574467,28.38709677419355,0.3290924542332071,0
2018-06-28,46850,47150,46600,46800,12784800,-0.0239833159541188,26.82926829268293,0.3016078546423521,0
2018-06-29,46250,47150,46200,46650,14099635,-0.0032051282051281,29.729729729729726,0.3828270705362139,0
2018-07-02,46500,47150,45500,45550,13112253,-0.0235798499464093,23.63636363636364,0.2422102724363486,1
2018-07-03,45750,46450,45750,46150,10959655,0.013172338090011,30.538922155688624,0.7897101334855642,1
2018-07-04,46700,47050,46050,46250,8776763,0.0021668472372697,36.55172413793104,1.0,0
2018-07-05,46100,46550,45600,45950,7039773,-0.0064864864864865,37.85714285714285,1.0,0
