Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-01-18,75800,76800,74600,75200,6199800,0.0148448043184885,50.26737967914438,0.7515646799967842,1
2018-01-19,75300,75800,73000,73300,3898397,-0.0252659574468084,41.66666666666667,0.4260049045740486,1
2018-01-22,72800,72800,70700,71100,5610463,-0.0300136425648022,37.08920187793427,0.252735734161875,0
2018-01-23,71800,72200,70900,71300,4671451,0.0028129395218001,34.31372549019608,0.1476765991608286,0
2018-01-24,71600,73200,71500,72400,3802939,0.0154277699859748,38.75598086124402,0.3158277348713991,0
2018-01-25,73400,76200,72300,75800,8758929,0.0469613259668508,42.081447963800905,0.4575820129599997,1
2018-01-26,76400,76400,74200,75500,4296170,-0.0039577836411609,43.66197183098592,0.5850009485617843,1
2018-01-29,76500,77000,75000,75300,3618328,-0.0026490066225165,46.03960396039604,0.787067544738647,1
2018-01-30,74300,74600,73100,73100,5443314,-0.0292164674634793,50.54347826086956,1.0,0
2018-01-31,72200,74500,72200,73500,5800892,0.0054719562243501,52.43243243243244,1.0,0
2018-02-01,74900,75200,74000,74400,2987816,0.0122448979591835,50.0,0.8657502193623865,1
2018-02-02,74500,74600,71800,72200,4343077,-0.0295698924731182,48.61878453038674,0.789518760129856,1
2018-02-05,70200,70900,69800,70200,4058439,-0.0277008310249307,38.58695652173913,0.2358463573127155,0
2018-02-06,69100,71300,68200,70200,5679965,0.0,39.226519337016576,0.2711448373486481,0
2018-02-07,73700,73800,70800,71100,6007913,0.0128205128205127,38.54748603351956,0.2336679188432703,0
2018-02-08,71900,74200,71600,73900,5586858,0.0393811533052039,51.595744680851055,0.9538218839650756,1
2018-02-09,72100,74200,72000,73400,5118112,-0.006765899864682,56.725146198830416,1.0,0
2018-02-12,73700,74700,73400,74500,3317876,0.0149863760217983,58.88888888888889,1.0,0
2018-02-13,75900,77800,75800,77700,7814367,0.042953020134228,63.18407960199005,1.0,1
2018-02-14,78400,79500,77000,77600,3943628,-0.0012870012870013,55.35714285714286,0.6823044256059825,1
2018-02-19,78900,79000,76100,76500,3350577,-0.0141752577319587,52.840909090909086,0.5801704289054804,1
2018-02-20,76400,76500,75200,75500,2507719,-0.0130718954248365,50.54347826086956,0.4869176493093703,0
2018-02-21,75800,77200,75800,76900,2653870,0.0185430463576159,60.79545454545455,0.9030456442812604,1
2018-02-22,76100,77400,75700,75900,1879461,-0.0130039011703511,56.59340659340659,0.7324844041337722,0
2018-02-23,76100,77600,76000,77300,2404473,0.0184453227931489,57.75401069518717,0.7795933560493447,0
2018-02-26,78300,78500,77200,77500,2327486,0.0025873221216041,65.86826347305389,1.0,0
2018-02-27,78700,79200,78400,78700,3395415,0.0154838709677418,76.72955974842768,1.0,1
2018-02-28,78600,79200,76600,76800,3102987,-0.0241423125794154,68.53932584269663,0.7854953094773062,0
2018-03-02,76300,77800,75900,77400,2673152,0.0078125,68.0,0.6666335987468999,0
2018-03-05,77500,78900,77100,78300,3415061,0.0116279069767442,64.1025641025641,0.5177974355627404,0
2018-03-06,80100,82500,80000,82400,7588369,0.0523627075351214,73.4375,0.8742820780576948,0
2018-03-07,83600,83900,82400,82700,4992841,0.0036407766990291,72.28260869565217,0.830178827829265,0
2018-03-08,83900,84300,81800,83500,4440076,0.0096735187424426,68.125,0.6714071270069181,1
2018-03-09,84400,85900,83100,83300,5159197,-0.0023952095808382,67.70186335403727,0.6552482891080987,0
2018-03-12,84900,85600,84300,84900,2744795,0.0192076830732292,75.3012048192771,0.9454536590429068,0
2018-03-13,88000,90000,87600,90000,8775741,0.0600706713780918,85.02415458937199,1.0,0
2018-03-14,89300,90900,89200,90700,5939290,0.0077777777777778,84.5,0.9815638129026232,1
2018-03-15,90300,90500,88600,89600,4106667,-0.0121278941565601,84.07960199004975,0.9653631237522126,0
2018-03-16,88500,89900,87200,89800,5006430,0.0022321428571427,83.06878306878306,0.9065381036961848,0
2018-03-19,90200,91500,89500,89900,3743718,0.0011135857461024,82.97872340425532,0.9022334756811908,1
2018-03-20,88900,89700,88000,89600,3083666,-0.0033370411568409,80.44692737430168,0.7812199212121812,1
2018-03-21,89600,90300,88000,88400,2942484,-0.013392857142857,83.72093023255815,0.9377091164442976,0
2018-03-22,88800,89300,88000,88600,2698169,0.002262443438914,83.33333333333333,0.9191829484902304,1
2018-03-23,85100,86400,82800,83100,7310739,-0.0620767494356658,61.21495327102804,0.0,0
2018-03-26,82300,84000,81000,84000,6121334,0.0108303249097472,54.39560439560439,0.0,1
2018-03-27,84700,84800,80100,81400,7184488,-0.0309523809523809,46.829268292682926,0.0,1
2018-03-28,79900,82200,79600,80300,4820673,-0.0135135135135134,42.30769230769231,0.0,0
2018-03-29,80800,81300,79600,80300,3618849,0.0,42.71844660194174,0.0096158312816462,0
2018-03-30,81200,83300,81100,81300,3681673,0.012453300124533,41.0,0.0,0
2018-04-02,81700,82800,81100,81300,2342407,0.0,20.80536912751677,0.0,0
2018-04-03,80300,81800,78700,81800,3553815,0.0061500615006149,19.72789115646259,0.0,1
2018-04-04,82500,83000,80000,80400,2964537,-0.0171149144254278,19.33333333333333,0.0,0
2018-04-05,82200,83200,81200,82900,3255356,0.0310945273631841,30.057803468208093,0.166561118155411,1
2018-04-06,80000,80600,79300,80300,5693281,-0.0313630880579011,25.75757575757575,0.099774533196156,0
2018-04-09,80000,81200,79300,80600,3231256,0.0037359900373599,27.272727272727263,0.1233062627235513,1
2018-04-10,80000,80800,79200,80400,2924054,-0.0024813895781637,28.723404255319156,0.1467198581560285,0
2018-04-11,82400,82400,81000,81200,3053453,0.0099502487562188,30.9278350515464,0.2768398580442126,0
2018-04-12,81900,85100,81500,84000,5725102,0.0344827586206897,52.69461077844311,0.95148649629283,0
2018-04-13,85000,85900,83900,84200,3032369,0.0023809523809523,50.625,0.937963683139883,1
2018-04-16,84200,84700,83400,84000,1489091,-0.002375296912114,59.55882352941176,1.0,1
2018-04-17,83900,84000,82300,82800,2501282,-0.0142857142857142,59.12408759124087,0.9891925260313356,0
2018-04-18,84100,85400,83700,84600,3375376,0.0217391304347827,63.87096774193548,1.0,0
2018-04-19,85800,88200,85300,87900,5901782,0.0390070921985814,68.53932584269663,1.0,1
2018-04-20,85900,86300,84000,84400,4590640,-0.0398179749715585,57.27699530516432,0.7711187202373934,0
2018-04-23,83400,85300,83300,84400,3002461,0.0,56.25,0.7502473740295327,1
2018-04-24,83300,83400,80400,82100,6804182,-0.0272511848341232,53.91705069124424,0.6582123189827642,0
2018-04-25,81600,83000,80900,82400,3845661,0.0036540803897686,48.71794871794872,0.5366861550705563,0
2018-04-26,83800,87100,83300,86500,7551747,0.0497572815533979,64.76190476190476,0.9084629891560584,0
2018-04-27,88500,88800,86800,87100,4961867,0.0069364161849712,65.25821596244131,0.9175930193388894,1
