Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-01-18,267000,267000,259000,262500,228429,-0.0056818181818182,87.57062146892656,0.9523703326111892,0
2018-01-19,263000,263500,254000,254500,220617,-0.0304761904761904,79.45945945945945,0.7352126319868254,0
2018-01-22,255000,255000,242000,243500,330445,-0.0432220039292731,70.44334975369458,0.4377401529533901,1
2018-01-23,247500,256000,245500,254500,251627,0.0451745379876795,72.97297297297297,0.1335448480588681,1
2018-01-24,254500,260000,251500,258500,232845,0.0157170923379175,68.42105263157895,0.0,0
2018-01-25,255000,268000,255000,258500,217460,0.0,67.21311475409837,0.0,1
2018-01-26,258500,261000,253500,260000,201975,0.0058027079303675,58.33333333333334,0.0,0
2018-01-29,266500,266500,258500,259000,147505,-0.0038461538461538,62.6865671641791,0.1401910984806101,0
2018-01-30,257000,263500,253000,254000,191362,-0.0193050193050192,52.38095238095238,0.0,1
2018-01-31,251000,259000,249000,256500,210868,0.0098425196850393,55.90551181102362,0.0952467210470007,0
2018-02-01,257500,259000,253500,256000,97862,-0.0019493177387914,53.278688524590166,0.0242601737162792,0
2018-02-02,256000,258000,243000,247000,240158,-0.03515625,47.44525547445255,0.0,0
2018-02-05,241000,249500,238000,245500,208932,-0.0060728744939271,44.44444444444444,0.0,0
2018-02-06,235000,244500,230500,236500,313288,-0.0366598778004073,29.00763358778626,0.0,1
2018-02-07,241000,246500,236000,238500,325574,0.0084566596194504,31.818181818181827,0.0557075622504593,0
2018-02-08,239000,242000,234000,236000,198470,-0.010482180293501,34.710743801652896,0.1297183256997259,0
2018-02-09,228500,232500,225000,229000,235653,-0.0296610169491525,37.16814159292036,0.1856123054945329,1
2018-02-12,232000,235000,228000,229500,135866,0.002183406113537,22.82608695652175,0.0,1
2018-02-13,232500,242500,227500,237000,232392,0.0326797385620916,28.28282828282828,0.1229354970824256,1
2018-02-14,238000,245000,237000,240000,176010,0.0126582278481013,32.38095238095238,0.2397077349458299,0
2018-02-19,244500,245500,237500,240000,104115,0.0,30.392156862745097,0.1898138172647974,0
2018-02-20,238500,240000,233000,234500,93557,-0.0229166666666666,27.927927927927925,0.1542300385767394,1
2018-02-21,234000,241000,233500,238500,121538,0.0170575692963752,35.779816513761475,0.3915947636398162,1
2018-02-22,236000,241500,235000,240000,114391,0.0062893081761006,34.57943925233644,0.3859556061094913,1
2018-02-23,241000,252000,238500,251500,242628,0.0479166666666666,46.51162790697674,0.9620772096021104,0
2018-02-26,253000,253500,247500,249000,111976,-0.0099403578528827,51.72413793103448,1.0,0
2018-02-27,249000,253000,246000,247500,127621,-0.0060240963855421,51.72413793103448,1.0,0
2018-02-28,245000,247500,236500,238000,187378,-0.0383838383838384,51.28205128205128,0.9847018524061326,0
2018-03-02,233000,239000,233000,238000,96390,0.0,49.55752212389381,0.9250255386063384,0
2018-03-05,236500,239500,233000,233500,100571,-0.0189075630252101,47.86324786324786,0.8663961776802245,1
2018-03-06,236000,240500,234500,239500,98069,0.025695931477516,59.130434782608695,1.0,0
2018-03-07,236500,242000,236000,236500,92961,-0.0125260960334029,55.833333333333336,0.8943321616871706,1
2018-03-08,239000,247000,238500,246000,202467,0.040169133192389,57.25806451612903,0.9399929539251496,1
2018-03-09,248000,250000,245000,247500,121657,0.0060975609756097,56.19834710743801,0.9060303811861566,1
2018-03-12,250500,253000,246500,253000,141611,0.0222222222222221,59.84848484848485,1.0,1
2018-03-13,250000,259000,248500,257500,177345,0.017786561264822,67.69230769230768,1.0,0
2018-03-14,255000,258500,254500,257500,85199,0.0,65.57377049180329,0.9360207284867216,1
