Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-01-18,88137,88987,86909,87665,178809,-0.0106535453509237,59.84605516356638,0.1568932334988545,0
2018-01-19,86720,88326,86720,88326,158949,0.0075400673016596,59.541121344320565,0.1383621308015265,0
2018-01-22,88326,88703,87192,88704,145345,0.0042796005706133,61.65353704145779,0.2667355343154902,0
2018-01-23,87853,89459,87475,89271,287509,0.0063920454545454,67.17020760966153,0.6019885708581465,1
2018-01-24,88515,89081,87475,88137,229429,-0.0127028934368383,65.66374476822239,0.5104394678643824,0
2018-01-25,89081,91160,87948,89649,445090,0.0171551107934238,70.74364696566121,0.8088385096332962,1
2018-01-26,88609,89365,87570,88987,210848,-0.0073843545382547,65.74617670508081,0.4878222310447873,1
2018-01-29,89270,90876,87853,88515,306608,-0.0053041455493498,50.44804575786464,0.0,1
2018-01-30,88515,88703,85492,85775,337643,-0.0309552053324295,44.09632530622448,0.0,1
2018-01-31,85775,85775,82185,84170,531602,-0.0187117458466918,34.333780901982465,0.0,0
2018-02-01,84264,87098,84264,86909,431754,0.0325412854936437,42.48356969906607,0.2069219971128687,1
2018-02-02,86909,87003,84641,85398,273527,-0.0173860014497923,38.693214038182845,0.1106853972885042,1
2018-02-05,85492,85869,83224,83319,311405,-0.0243448324316728,33.15408128608627,0.0,1
2018-02-06,83602,83886,79635,81241,499763,-0.0249402897298335,30.693847605072836,0.0,1
2018-02-07,81618,83035,79540,79541,445223,-0.0209253948129638,29.52414557919145,0.0,0
2018-02-08,80768,82469,79824,81336,384668,0.0225669780364843,33.33492275414838,0.0924508314457148,1
2018-02-09,80674,81146,78973,79824,329974,-0.0185895544408379,29.91495521577852,0.0094811830187579,0
2018-02-12,79918,80485,77840,79919,186241,0.0011901182601723,28.385874087085146,0.0,0
2018-02-13,80107,81524,79257,80863,294401,0.0118119596091041,33.03954486103339,0.109865804023469,0
2018-02-14,81618,81902,80013,81052,234691,0.0023372865216477,28.63674767655684,0.0067149774464314,0
2018-02-19,82847,82847,80485,81808,216713,0.0093273454078863,32.24338362602029,0.1748472270317918,1
2018-02-20,80863,81430,79257,79446,258975,-0.0288724819088597,29.4865415064465,0.0700595676093926,0
2018-02-21,79729,81241,79068,81241,310881,0.0225939631951261,39.28638941398866,0.7732125608982304,1
2018-02-22,80013,80768,79635,79824,182482,-0.017441932029394,39.6385657066565,0.7981936856409539,0
2018-02-23,80579,81241,80013,81147,153604,0.0165739627179795,35.26794845571692,0.6115936170028919,0
2018-02-26,81524,81807,80485,81713,181421,0.0069749959949227,40.09994089516952,1.0,1
2018-02-27,81241,81996,80957,81147,232167,-0.0069266824128351,43.648379927476896,1.0,0
2018-02-28,81807,81902,80863,81430,248066,0.0034874979974612,50.61752597529897,1.0,1
2018-03-02,79635,80863,78123,78879,308112,-0.0313275205698145,47.95097189550576,0.8800559628586624,0
2018-03-05,78218,80485,78218,79730,224784,0.0107886763270326,44.720578566732414,0.7347499214985083,0
2018-03-06,80579,81052,79068,81052,245589,0.016580960742506,54.0878828229028,1.0,0
2018-03-07,80013,81807,80013,81052,317209,0.0,53.79564489112228,0.9885176857495696,0
2018-03-08,81902,82563,80674,82564,309301,0.0186546908157725,55.48957593752017,1.0,0
2018-03-09,82469,84264,82280,83508,214971,0.0114335545758441,57.55785327424915,1.0,0
2018-03-12,85019,85019,80768,84075,176608,0.0067897686449203,57.058347344168375,0.9822058215799628,0
2018-03-13,82752,85397,82185,85398,251721,0.015735950044603,69.81358189081226,1.0,1
2018-03-14,84075,84736,83035,84359,172316,-0.0121665612777817,60.9296130117779,0.7428338115227894,1
