stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20201201,183500,183000,184500,179500,1792800,326319671000,00,0.00,N,2,2000,
20201130,181500,181500,188500,181500,3981271,734770823500,00,0.00,N,2,500,
20201127,181000,179000,181000,178000,1033868,186286169000,00,0.00,N,2,2000,
20201126,179000,179500,181000,178000,1260429,225708977500,00,0.00,N,5,-500,
20201125,179500,183500,184000,178000,2082764,377338587000,00,0.00,N,5,-1500,
20201124,181000,181000,183000,179500,1522580,275435802000,00,0.00,N,2,2000,
20201123,179000,175000,179500,175000,1494870,266632790062,00,0.00,N,2,2000,
20201120,177000,179000,179500,177000,1309560,232739808516,00,0.00,N,5,-3000,
20201119,180000,179000,181500,177500,1379907,247733158000,00,0.00,N,2,500,
20201118,179500,183500,185500,179000,2228657,402785323500,00,0.00,N,5,-3000,
20201117,182500,179500,185000,178000,3429139,626907100000,00,0.00,N,2,3500,
20201116,179000,182500,183500,177500,2752922,495861523000,00,0.00,N,2,1500,
20201113,177500,174000,178500,173500,2405777,426340747500,00,0.00,N,2,3500,
20201112,174000,175500,177000,173000,1965154,343644797500,00,0.00,N,5,-1500,
20201111,175500,174500,179000,173000,4140745,728300751500,00,0.00,N,2,2000,
20201110,173500,174500,174500,172000,1796342,310911686000,00,0.00,N,2,1000,
20201109,172500,172500,174500,172000,1521010,262931037000,00,0.00,N,2,2000,
20201106,170500,176500,177000,169500,2233192,384931489000,00,0.00,N,5,-4500,
20201105,175000,173500,175000,172500,1299430,226049073000,00,0.00,N,2,3500,
20201104,171500,173000,175000,170500,1699252,293321362000,00,0.00,N,2,1000,
20201103,170500,171000,172000,169000,1006364,171739121000,00,0.00,N,3,0,
20201102,170500,166000,170500,166000,1052301,177093717500,00,0.00,N,2,6000,
20201030,164500,169000,169500,164500,1452259,241959565000,00,0.00,N,5,-5500,
20201029,170000,169000,171000,168000,1484537,251603267000,00,0.00,N,5,-3500,
20201028,173500,172000,174000,169500,1419988,243956691500,00,0.00,N,2,1000,
20201027,172500,173000,178000,171000,3317704,579159503000,00,0.00,N,2,1000,
20201026,171500,167000,174000,164000,3018359,512891848000,00,0.00,N,2,4500,
20201023,167000,163500,168000,163000,1883932,313275328500,00,0.00,N,2,4500,
20201022,162500,163000,163500,161000,1700524,275399478500,00,0.00,N,5,-3000,
20201021,165500,167000,167500,163500,1760669,291532765500,00,0.00,N,5,-2000,
20201020,167500,157000,168500,156500,5697398,924496647000,00,0.00,N,5,-500,
20201019,168000,169500,172000,167500,2230634,375690481500,00,0.00,N,5,-4000,
20201016,172000,176500,177500,169000,3197258,548368526500,00,0.00,N,5,-4000,
20201015,176000,177000,178500,175000,1587551,280077134000,00,0.00,N,5,-2000,
20201014,178000,181000,183500,177000,1930046,347319395000,00,0.00,N,5,-1000,
20201013,179000,181000,181500,176000,1728432,307804795000,00,0.00,N,5,-1000,
20201012,180000,178000,181500,176000,1655359,296867227500,00,0.00,N,5,-500,
20201008,180500,185500,186000,180000,1750474,318075080000,00,0.00,N,5,-2500,
20201007,183000,180000,183500,178500,1512423,274158231000,00,0.00,N,2,500,
20201006,182500,188000,188500,181500,2143171,396028352000,00,0.00,N,5,-4500,
20201005,187000,183000,187500,181500,2732820,506603780000,00,0.00,N,2,8500,
20200929,178500,178500,180000,177500,1475249,263523904000,00,0.00,N,2,3000,
20200928,175500,173000,176000,172000,1374871,239886558000,00,0.00,N,2,5500,
20200925,170000,172500,174000,166000,2076987,353228976000,00,0.00,N,5,-1500,
20200924,171500,173500,176000,171000,2841908,492341228500,00,0.00,N,5,-8000,
20200923,179500,183000,183000,170000,3481682,614907269500,00,0.00,N,3,0,
20200922,179500,185000,186000,178000,3042046,548354984000,00,0.00,N,5,-5500,
20200921,185000,181000,188500,180500,3133848,582682896500,00,0.00,N,2,4000,
20200918,181000,184000,186000,179000,2584103,469435172500,00,0.00,N,5,-3000,
20200917,184000,185500,191500,183000,4383978,821064892500,00,0.00,N,2,500,
20200916,183500,179500,186000,177000,3401835,620186023000,00,0.00,N,2,4500,
20200915,179000,184000,185000,178500,2644009,479451731000,00,0.00,N,5,-1000,
20200914,180000,174500,180000,174000,3145262,560494417500,00,0.00,N,2,8500,
20200911,171500,167500,171500,167500,1538378,260944365000,00,0.00,N,2,2500,
20200910,169000,170500,171500,168000,1326177,224080106500,00,0.00,N,2,1500,
20200909,167500,166500,172000,165500,1685225,284169323000,00,0.00,N,5,-500,
20200908,168000,171000,172500,168000,1933504,327665925500,00,0.00,N,5,-2000,
20200907,170000,172500,173000,169000,1516649,258150196500,00,0.00,N,5,-2500,
20200904,172500,167500,174000,167500,2886867,494310852000,00,0.00,N,5,-4000,
20200903,176500,177500,177500,174000,1841550,324253322500,00,0.00,N,2,500,
20200902,176000,178000,178500,173500,2825239,496552612740,00,0.00,N,5,-4000,
20200901,180000,178500,181000,175500,2704194,482876093500,00,0.00,N,2,3500,
20200831,176500,177500,182000,174500,5275614,940955196500,00,0.00,N,2,4500,
20200828,172000,165500,176500,164500,5571784,956330052500,00,0.00,N,2,8500,
20200827,163500,169000,169500,163500,2427108,402652110500,00,0.00,N,5,-4000,
20200826,167500,166500,170000,163000,2638394,439643843500,00,0.00,N,2,1500,
20200825,166000,167500,171000,165000,3304089,555524533500,00,0.00,N,2,4500,
20200824,161500,157500,163000,152500,2904566,463684541000,00,0.00,N,2,5500,
20200821,156000,158000,161500,154000,3348383,527578510500,00,0.00,N,2,1000,
20200820,155000,163000,165500,154000,3630223,575205955500,00,0.00,N,5,-9500,
20200819,164500,158000,165500,158000,3298626,533271287995,00,0.00,N,2,6500,
20200818,158000,163500,168000,155500,4328953,699733323500,00,0.00,N,5,-9000,
20200814,167000,171000,172000,161000,4469158,739685611000,00,0.00,N,5,-3000,
20200813,170000,175000,177500,167000,3997431,685908473000,00,0.00,N,5,-2000,
20200812,172000,174000,178500,170500,4877139,849763235000,00,0.00,N,5,-7000,
20200811,179000,171500,180500,164500,6776406,1160211562122,00,0.00,N,2,9000,
20200810,170000,151500,172500,151000,8460795,1380327846500,00,0.00,N,2,23000,
20200807,147000,145500,149500,144500,3208082,471439724500,00,0.00,N,2,2500,
20200806,144500,136500,146000,136000,4040334,573497284275,00,0.00,N,2,10500,
20200805,134000,133000,135500,132000,1859551,248928134000,00,0.00,N,2,1500,
20200804,132500,129500,134000,129000,2492506,328677840500,00,0.00,N,2,5500,
20200803,127000,126500,128500,123500,1868315,236001457000,00,0.00,N,2,500,
