체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,22000,3200,22000,0,196853,5
15:56,22000,3200,22000,0,196848,38
15:55,22000,3200,22000,0,196810,4
15:53,22000,3200,22000,0,196806,12
15:52,22000,3200,22000,0,196794,10
15:47,22000,3200,22000,0,196784,50
15:40,22000,3200,22000,0,196734,142
15:30,22000,3200,22050,22000,196592,2131
15:19,21850,3350,21950,21850,194461,1735
15:18,22050,3150,22050,22000,192726,339
15:17,22000,3200,22050,22000,192387,427
15:16,22050,3150,22100,21800,191960,2269
15:15,21750,3450,21750,21650,189691,1925
15:14,21750,3450,21850,21750,187766,922
15:13,21800,3400,21850,21750,186844,1935
15:12,21800,3400,21800,21750,184909,597
15:11,21800,3400,21800,21750,184312,187
15:10,21800,3400,21800,21650,184125,1041
15:09,21800,3400,21800,21700,183084,610
15:08,21700,3500,21850,21700,182474,454
15:07,21750,3450,21900,21750,182020,193
15:06,21850,3350,21950,21850,181827,182
15:05,21900,3300,22000,21900,181645,595
15:04,21950,3250,22000,21950,181050,1306
15:03,22250,2950,22400,22200,179744,200
15:02,22200,3000,22350,22100,179544,267
15:01,22000,3200,22100,21950,179277,1294
15:00,21850,3350,21900,21850,177983,1093
14:59,21800,3400,21850,21650,176890,697
14:58,21600,3600,21700,21600,176193,891
14:57,21450,3750,21550,21400,175302,1616
14:56,21350,3850,21450,21350,173686,765
14:55,21400,3800,21400,21350,172921,697
14:54,21350,3850,21400,21350,172224,1461
14:53,21450,3750,21500,21450,170763,1567
14:52,21400,3800,21400,21300,169196,2893
14:51,21500,3700,21600,21500,166303,2273
14:50,21650,3550,21700,21650,164030,2739
14:49,21650,3550,21800,21650,161291,3769
14:48,21950,3250,22050,21950,157522,2727
14:47,22150,3050,22200,22150,154795,1252
14:46,22250,2950,22250,22200,153543,570
14:45,22200,3000,22350,22200,152973,1988
14:44,22400,2800,22500,22400,150985,5556
14:14,22600,2600,22600,22550,145429,5
14:13,22550,2650,22600,22550,145424,255
14:12,22600,2600,22600,22550,145169,204
14:11,22550,2650,22650,22600,144965,184
14:10,22600,2600,22650,22600,144781,227
14:09,22650,2550,22650,22600,144554,978
14:08,22650,2550,22700,22650,143576,121
14:07,22650,2550,22700,22650,143455,1110
14:06,22700,2500,22750,22700,142345,99
14:05,22700,2500,22750,22700,142246,222
14:04,22700,2500,22750,22700,142024,11
14:03,22750,2450,22750,22700,142013,86
14:02,22650,2550,22750,22650,141927,1417
14:01,22700,2500,22800,22700,140510,379
14:00,22750,2450,22800,22750,140131,305
13:59,22750,2450,22800,22750,139826,70
13:58,22700,2500,22850,22700,139756,200
13:57,22700,2500,22750,22700,139556,3337
13:56,22800,2400,22850,22800,136219,1241
13:55,22850,2350,22900,22850,134978,213
13:54,22850,2350,22900,22850,134765,63
13:53,22900,2300,22900,22850,134702,195
13:52,22800,2400,22850,22800,134507,792
13:51,22850,2350,22900,22850,133715,139
13:50,22850,2350,22900,22850,133576,352
13:49,22850,2350,22900,22850,133224,110
13:48,22900,2300,22900,22850,133114,924
13:47,22850,2350,22900,22850,132190,1228
13:46,22900,2300,22950,22850,130962,397
13:45,22950,2250,22950,22900,130565,174
13:44,22900,2300,23000,22900,130391,1310
13:43,22950,2250,23000,22950,129081,170
13:42,22950,2250,23000,22950,128911,103
13:41,22950,2250,23000,22950,128808,48
13:40,22950,2250,23000,22950,128760,579
13:39,22950,2250,23000,22950,128181,312
13:38,22950,2250,23000,22950,127869,37
13:37,23000,2200,23050,23000,127832,2139
13:36,23000,2200,23050,23000,125693,179
13:35,23050,2150,23050,23000,125514,88
13:34,23000,2200,23050,23000,125426,648
13:33,23050,2150,23100,23050,124778,130
