체결시각,체결가,전일비,매도,매수,거래량,변동량
15:57,18340,870,0,18340,1482358,1
15:55,18340,870,0,18340,1482357,7
15:52,18340,870,0,18340,1482350,30
15:51,18340,870,0,18340,1482320,6
15:49,18340,870,0,18340,1482314,20
15:48,18340,870,0,18340,1482294,54
15:47,18340,870,0,18340,1482240,819
15:46,18340,870,18340,0,1481421,14
15:44,18340,870,18340,0,1481407,9
15:43,18340,870,18340,0,1481398,231
15:42,18340,870,0,18340,1481167,418
15:41,18340,870,18340,0,1480749,50
15:40,18340,870,18340,0,1480699,1943
15:30,18340,870,18350,18340,1478756,25033
15:19,18380,830,18380,18370,1453723,2646
15:18,18380,830,18390,18380,1451077,1531
15:17,18380,830,18390,18380,1449546,3753
15:16,18380,830,18390,18380,1445793,1648
15:15,18390,820,18390,18380,1444145,1355
15:14,18370,840,18380,18370,1442790,2525
15:13,18410,800,18410,18390,1440265,2051
15:12,18380,830,18380,18370,1438214,15149
15:11,18410,800,18410,18400,1423065,1842
15:10,18410,800,18420,18410,1421223,2077
15:09,18410,800,18410,18400,1419146,2582
15:08,18410,800,18410,18400,1416564,2600
15:07,18400,810,18410,18400,1413964,3091
15:06,18400,810,18400,18390,1410873,1785
15:05,18420,790,18420,18410,1409088,2847
15:04,18400,810,18400,18390,1406241,4068
15:03,18390,820,18400,18390,1402173,2423
15:02,18390,820,18400,18390,1399750,2165
15:01,18370,840,18380,18370,1397585,2528
15:00,18410,800,18410,18400,1395057,3240
14:59,18400,810,18410,18400,1391817,3473
14:58,18390,820,18400,18390,1388344,2708
14:57,18380,830,18380,18370,1385636,2949
14:56,18340,870,18350,18340,1382687,2470
14:55,18330,880,18340,18330,1380217,3981
14:54,18340,870,18350,18340,1376236,2743
14:53,18340,870,18340,18330,1373493,3739
14:52,18340,870,18350,18340,1369754,2755
14:51,18350,860,18350,18340,1366999,5017
14:50,18350,860,18360,18350,1361982,1466
14:49,18350,860,18360,18350,1360516,3967
14:48,18350,860,18360,18350,1356549,1938
14:47,18370,840,18370,18360,1354611,1497
14:46,18350,860,18360,18350,1353114,1470
14:45,18330,880,18340,18330,1351644,4641
14:44,18340,870,18360,18340,1347003,4042
14:43,18350,860,18350,18340,1342961,2741
14:42,18350,860,18350,18340,1340220,4823
14:41,18370,840,18380,18370,1335397,4299
14:40,18370,840,18380,18370,1331098,2315
14:39,18380,830,18390,18380,1328783,2640
14:38,18400,810,18410,18380,1326143,3167
14:37,18370,840,18380,18370,1322976,1344
14:36,18350,860,18380,18350,1321632,2293
14:35,18370,840,18370,18360,1319339,2130
14:34,18370,840,18380,18370,1317209,1104
14:33,18370,840,18380,18370,1316105,1373
14:32,18340,870,18350,18340,1314732,1966
14:31,18350,860,18360,18350,1312766,2248
14:30,18350,860,18360,18350,1310518,2540
14:29,18360,850,18360,18350,1307978,1818
14:28,18350,860,18360,18350,1306160,3097
14:27,18350,860,18350,18340,1303063,1964
14:26,18330,880,18340,18320,1301099,1867
14:25,18310,900,18320,18310,1299232,2337
14:24,18310,900,18310,18300,1296895,905
14:23,18310,900,18310,18300,1295990,2509
14:22,18310,900,18320,18310,1293481,1264
14:21,18310,900,18310,18300,1292217,1395
14:20,18290,920,18300,18290,1290822,2490
14:19,18290,920,18300,18290,1288332,2097
14:18,18280,930,18290,18280,1286235,2377
14:17,18290,920,18300,18290,1283858,1452
14:16,18290,920,18290,18280,1282406,2040
14:15,18290,920,18290,18280,1280366,1343
14:14,18280,930,18280,18270,1279023,3366
14:13,18270,940,18280,18270,1275657,1677
14:12,18280,930,18280,18270,1273980,2492
14:11,18280,930,18280,18270,1271488,2395
14:10,18270,940,18280,18270,1269093,1525
14:09,18270,940,18270,18260,1267568,1503
14:08,18260,950,18280,18270,1266065,8292
14:07,18270,940,18280,18270,1257773,3178
14:06,18280,930,18290,18280,1254595,3246
14:05,18280,930,18290,18280,1251349,4348
14:04,18300,910,18300,18290,1247001,1784
14:03,18290,920,18290,18280,1245217,4684
14:02,18280,930,18290,18280,1240533,1502
14:01,18280,930,18290,18280,1239031,3505
14:00,18290,920,18300,18290,1235526,2728
13:59,18290,920,18300,18290,1232798,1512
13:58,18290,920,18290,18280,1231286,1798
13:57,18280,930,18290,18280,1229488,1876
13:56,18270,940,18280,18270,1227612,7680
13:55,18270,940,18280,18270,1219932,8612
13:54,18290,920,18290,18280,1211320,6705
13:53,18290,920,18300,18290,1204615,3079
13:52,18300,910,18310,18300,1201536,1738
13:51,18300,910,18310,18300,1199798,1362
13:50,18310,900,18310,18300,1198436,3650
13:49,18300,910,18300,18290,1194786,15381
13:48,18310,900,18310,18300,1179405,1915
13:47,18300,910,18310,18300,1177490,1434
13:46,18300,910,18310,18300,1176056,4591
13:45,18310,900,18310,18300,1171465,2383
13:44,18300,910,18310,18300,1169082,1256
13:43,18320,890,18320,18310,1167826,868
13:42,18310,900,18310,18300,1166958,969
13:41,18300,910,18300,18290,1165989,2311
13:40,18300,910,18300,18290,1163678,3681
13:39,18310,900,18310,18300,1159997,3519
13:38,18310,900,18310,18300,1156478,2494
13:37,18300,910,18310,18300,1153984,6021
13:36,18310,900,18330,18310,1147963,6943
13:35,18320,890,18330,18320,1141020,3386
13:34,18310,900,18320,18310,1137634,880
13:33,18320,890,18320,18310,1136754,1788
13:32,18310,900,18320,18310,1134966,1159
13:31,18310,900,18320,18310,1133807,1712
13:30,18310,900,18320,18310,1132095,2170
13:29,18290,920,18300,18290,1129925,2449
13:28,18290,920,18300,18290,1127476,10531
13:27,18300,910,18310,18300,1116945,1498
13:26,18310,900,18320,18310,1115447,2460
13:25,18310,900,18320,18310,1112987,3432
13:24,18330,880,18340,18320,1109555,8636
13:23,18330,880,18340,18330,1100919,2625
13:22,18350,860,18350,18340,1098294,743
13:21,18350,860,18350,18340,1097551,1055
13:20,18340,870,18340,18330,1096496,768
13:19,18320,890,18330,18320,1095728,826
