체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,179300,4300,0,179300,5515754,13
15:57,179300,4300,0,179300,5515741,980
15:56,179300,4300,0,179300,5514761,9
15:55,179300,4300,0,179300,5514752,7
15:54,179300,4300,0,179300,5514745,15
15:53,179300,4300,0,179300,5514730,62
15:52,179300,4300,0,179300,5514668,135
15:51,179300,4300,0,179300,5514533,239
15:50,179300,4300,0,179300,5514294,642
15:49,179300,4300,0,179300,5513652,52
15:48,179300,4300,0,179300,5513600,123
15:47,179300,4300,0,179300,5513477,16
15:46,179300,4300,0,179300,5513461,55
15:45,179300,4300,0,0,5513406,39
15:44,179300,4300,0,179300,5513367,629
15:43,179300,4300,0,179300,5512738,410
15:42,179300,4300,0,179300,5512328,42
15:41,179300,4300,0,179300,5512286,21
15:40,179300,4300,0,179300,5512265,4622
15:30,179300,4300,179400,179300,5507643,212049
15:19,178500,3500,178500,178400,5295594,62034
15:18,178700,3700,178800,178700,5233560,32583
15:17,179000,4000,179000,178900,5200977,22253
15:16,179100,4100,179100,179000,5178724,18507
15:15,179100,4100,179100,179000,5160217,22699
15:14,179300,4300,179300,179200,5137518,18836
15:13,179400,4400,179400,179300,5118682,22914
15:12,179100,4100,179100,179000,5095768,17271
15:11,179100,4100,179100,179000,5078497,33440
15:10,179300,4300,179400,179300,5045057,34729
15:09,179600,4600,179700,179600,5010328,10531
15:08,179700,4700,179700,179600,4999797,10529
15:07,179600,4600,179700,179600,4989268,13378
15:06,179600,4600,179600,179500,4975890,17019
15:05,179600,4600,179600,179500,4958871,25480
15:04,179700,4700,179700,179600,4933391,27456
15:03,179700,4700,179800,179700,4905935,14299
15:02,179900,4900,179900,179800,4891636,20128
15:01,179900,4900,180000,179900,4871508,19185
15:00,180000,5000,180000,179900,4852323,54787
14:59,180700,5700,180700,180600,4797536,19873
14:58,180600,5600,180600,180500,4777663,22461
14:57,180600,5600,180600,180500,4755202,21248
14:56,180700,5700,180700,180600,4733954,24030
14:55,180600,5600,180600,180500,4709924,25173
14:54,180600,5600,180600,180500,4684751,37994
14:53,180300,5300,180300,180200,4646757,14187
14:52,180200,5200,180200,180100,4632570,19989
14:51,180200,5200,180200,180100,4612581,16657
