체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,162800,6000,0,162800,5183014,491
15:57,162800,6000,0,162800,5182523,93
15:56,162800,6000,0,162800,5182430,25
15:55,162800,6000,0,162800,5182405,35
15:54,162800,6000,0,162800,5182370,11
15:52,162800,6000,0,162800,5182359,3
15:51,162800,6000,0,162800,5182356,89
15:50,162800,6000,0,162800,5182267,260
15:49,162800,6000,0,162800,5182007,93
15:48,162800,6000,0,162800,5181914,33
15:47,162800,6000,0,162800,5181881,389
15:46,162800,6000,0,162800,5181492,113
15:45,162800,6000,0,0,5181379,56
15:44,162800,6000,0,162800,5181323,37
15:43,162800,6000,0,162800,5181286,10
15:42,162800,6000,0,162800,5181276,289
15:41,162800,6000,0,162800,5180987,91
15:40,162800,6000,0,162800,5180896,5257
15:30,162800,6000,162900,162800,5175639,314085
15:19,162900,5900,162900,162800,4861554,27974
15:18,163000,5800,163000,162900,4833580,18252
15:17,163000,5800,163000,162900,4815328,38091
15:16,163100,5700,163100,163000,4777237,22735
15:15,162900,5900,163000,162900,4754502,20992
15:14,162800,6000,162900,162800,4733510,18162
15:13,162700,6100,162800,162700,4715348,19848
15:12,162700,6100,162700,162600,4695500,13341
15:11,162600,6200,162600,162500,4682159,31654
15:10,162300,6500,162300,162200,4650505,15809
15:09,162300,6500,162300,162200,4634696,13859
15:08,162400,6400,162400,162300,4620837,10163
15:07,162300,6500,162400,162300,4610674,6452
15:06,162400,6400,162500,162400,4604222,5700
15:05,162500,6300,162500,162400,4598522,15003
15:04,162300,6500,162300,162200,4583519,9301
15:03,162400,6400,162400,162300,4574218,9125
15:02,162300,6500,162400,162300,4565093,7140
15:01,162300,6500,162300,162200,4557953,12925
15:00,162200,6600,162200,162100,4545028,13929
14:59,162500,6300,162600,162500,4531099,11494
14:58,162700,6100,162700,162600,4519605,17401
14:57,162600,6200,162600,162500,4502204,19968
14:56,162800,6000,162900,162800,4482236,5082
14:55,162900,5900,162900,162800,4477154,20785
14:54,163100,5700,163100,163000,4456369,16339
14:53,162900,5900,163000,162900,4440030,4184
14:52,163000,5800,163000,162900,4435846,4032
14:51,163000,5800,163000,162900,4431814,11616
14:50,162800,6000,162900,162800,4420198,5062
14:49,162800,6000,162900,162800,4415136,5685
14:48,162900,5900,162900,162800,4409451,12176
14:47,162800,6000,162800,162700,4397275,5541
14:46,162700,6100,162800,162700,4391734,10506
14:45,162700,6100,162700,162600,4381228,11577
14:44,162700,6100,162800,162700,4369651,13345
14:43,162900,5900,162900,162800,4356306,7958
14:42,163000,5800,163000,162900,4348348,17509
14:41,162900,5900,162900,162800,4330839,10916
14:40,162900,5900,162900,162800,4319923,13251
14:39,162800,6000,162800,162700,4306672,7194
14:38,162800,6000,162800,162700,4299478,11172
14:37,162600,6200,162600,162500,4288306,6588
14:36,162500,6300,162500,162400,4281718,17828
14:35,162500,6300,162600,162500,4263890,16341
14:34,162400,6400,162500,162400,4247549,3995
14:33,162400,6400,162500,162400,4243554,17227
14:32,162300,6500,162300,162200,4226327,10332
14:31,162100,6700,162200,162100,4215995,10365
14:30,162300,6500,162300,162200,4205630,3858
14:29,162200,6600,162300,162200,4201772,3064
14:28,162300,6500,162300,162200,4198708,8271
14:27,162200,6600,162200,162100,4190437,3347
14:26,162200,6600,162200,162100,4187090,3423
14:25,162300,6500,162300,162200,4183667,9758
14:24,162200,6600,162200,162100,4173909,9522
14:23,162300,6500,162300,162200,4164387,10702
14:22,162000,6800,162100,162000,4153685,21503
14:21,161900,6900,161900,161800,4132182,3980
14:20,161900,6900,161900,161800,4128202,12018
14:19,161600,7200,161700,161600,4116184,5947
14:18,161700,7100,161700,161600,4110237,15280
14:17,161800,7000,161900,161800,4094957,2999
14:16,161800,7000,161900,161800,4091958,3439
14:15,161900,6900,161900,161800,4088519,4661
14:14,161900,6900,162000,161900,4083858,21894
14:13,162000,6800,162000,161900,4061964,3002
14:12,162000,6800,162000,161900,4058962,4007
14:11,161900,6900,162000,161900,4054955,3280
14:10,162000,6800,162000,161900,4051675,8647
14:09,161900,6900,162000,161900,4043028,4738
14:08,162000,6800,162000,161900,4038290,3713
14:07,161900,6900,162000,161900,4034577,8130
14:06,161900,6900,161900,161800,4026447,1940
14:05,161900,6900,161900,161800,4024507,3920
14:04,161900,6900,161900,161800,4020587,7095
14:03,161800,7000,161800,161700,4013492,5229
14:02,161800,7000,161900,161800,4008263,4222
14:01,161800,7000,161800,161700,4004041,5356
14:00,162000,6800,162000,161900,3998685,22497
13:59,162000,6800,162000,161900,3976188,17225
13:58,161900,6900,162000,161900,3958963,3393
13:57,161900,6900,162000,161900,3955570,4964
13:56,162000,6800,162000,161900,3950606,2073
13:55,162000,6800,162000,161900,3948533,5747
13:54,161900,6900,161900,161800,3942786,8653
13:53,161900,6900,161900,161800,3934133,11275
13:52,161600,7200,161700,161600,3922858,2235
13:51,161700,7100,161700,161600,3920623,7455
13:50,161700,7100,161700,161600,3913168,12073
13:49,161500,7300,161600,161500,3901095,2345
13:48,161600,7200,161600,161500,3898750,5745
13:47,161600,7200,161600,161500,3893005,3828
13:46,161500,7300,161600,161500,3889177,9069
13:45,161500,7300,161500,161400,3880108,7953
13:44,161600,7200,161600,161500,3872155,1582
13:43,161500,7300,161600,161500,3870573,14433
13:42,161500,7300,161500,161400,3856140,2199
