체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,163400,5900,0,163400,5260524,16
15:57,163400,5900,0,163400,5260508,3
15:56,163400,5900,0,163400,5260505,61
15:55,163400,5900,0,163400,5260444,52
15:53,163400,5900,0,163400,5260392,1
15:52,163400,5900,0,163400,5260391,119
15:50,163400,5900,0,163400,5260272,110
15:49,163400,5900,0,163400,5260162,58
15:48,163400,5900,0,163400,5260104,64
15:47,163400,5900,0,163400,5260040,198
15:46,163400,5900,0,163400,5259842,13
15:45,163400,5900,0,0,5259829,20
15:44,163400,5900,0,163400,5259809,122
15:43,163400,5900,0,163400,5259687,1
15:42,163400,5900,0,163400,5259686,27
15:41,163400,5900,0,163400,5259659,216
15:40,163400,5900,0,163400,5259443,7044
15:30,163400,5900,163500,163400,5252399,676751
15:19,163400,5900,163500,163400,4575648,13306
15:18,163400,5900,163400,163300,4562342,17721
15:17,163200,6100,163300,163200,4544621,22524
15:16,163700,5600,163700,163600,4522097,12274
15:15,163500,5800,163500,163400,4509823,6211
15:14,163300,6000,163400,163300,4503612,41568
15:13,163600,5700,163600,163500,4462044,32352
15:12,164000,5300,164100,164000,4429692,16170
15:11,164000,5300,164000,163900,4413522,5958
15:10,163900,5400,164000,163900,4407564,5344
15:09,164000,5300,164000,163900,4402220,6532
15:08,163900,5400,164000,163900,4395688,7557
15:07,163700,5600,163800,163700,4388131,6857
15:06,163900,5400,164000,163900,4381274,6288
15:05,164000,5300,164000,163900,4374986,6107
15:04,163700,5600,163800,163700,4368879,4829
15:03,163700,5600,163700,163600,4364050,13566
15:02,163900,5400,163900,163800,4350484,6083
15:01,163900,5400,164000,163900,4344401,8452
15:00,164200,5100,164300,164200,4335949,9785
14:59,164100,5200,164200,164100,4326164,14647
14:58,164000,5300,164000,163900,4311517,13702
14:57,163700,5600,163700,163600,4297815,8689
14:56,163900,5400,163900,163800,4289126,4504
14:55,163800,5500,163800,163700,4284622,5994
14:54,163700,5600,163700,163600,4278628,4801
14:53,163700,5600,163700,163600,4273827,3604
14:52,163700,5600,163700,163600,4270223,7108
14:51,163500,5800,163500,163400,4263115,13486
14:50,163700,5600,163800,163700,4249629,6083
14:49,163600,5700,163700,163600,4243546,3477
14:48,163700,5600,163700,163600,4240069,7653
14:47,163400,5900,163500,163400,4232416,5957
14:46,163400,5900,163400,163300,4226459,12634
14:45,163500,5800,163500,163400,4213825,8554
14:44,163300,6000,163400,163300,4205271,14421
14:43,163700,5600,163700,163600,4190850,9664
14:42,163800,5500,163900,163800,4181186,13605
14:41,163500,5800,163600,163500,4167581,6759
14:40,163400,5900,163400,163300,4160822,19166
14:39,163500,5800,163500,163400,4141656,21842
14:38,163900,5400,163900,163800,4119814,21372
14:37,164100,5200,164200,164100,4098442,8332
14:36,164400,4900,164400,164300,4090110,2394
14:35,164400,4900,164500,164400,4087716,7708
14:34,164300,5000,164400,164300,4080008,5861
14:33,164500,4800,164600,164500,4074147,3606
14:32,164600,4700,164900,164800,4070541,8579
14:31,164600,4700,164600,164500,4061962,4489
14:30,164500,4800,164600,164500,4057473,5971
14:29,164300,5000,164300,164200,4051502,9096
14:28,164100,5200,164200,164100,4042406,6733
