체결시각,체결가,전일비,매도,매수,거래량,변동량
15:59,66300,1400,66300,0,35403972,10
15:58,66300,1400,66300,0,35403962,2077
15:57,66300,1400,66300,0,35401885,9254
15:56,66300,1400,66300,0,35392631,1011
15:55,66300,1400,66300,0,35391620,3111
15:54,66300,1400,66300,0,35388509,1846
15:53,66300,1400,66300,0,35386663,665
15:52,66300,1400,66300,0,35385998,1808
15:51,66300,1400,66300,0,35384190,1262
15:50,66300,1400,66300,0,35382928,1946
15:49,66300,1400,66300,0,35380982,1319
15:48,66300,1400,66300,0,35379663,1231
15:47,66300,1400,66300,0,35378432,12510
15:46,66300,1400,66300,0,35365922,2053
15:45,66300,1400,0,0,35363869,1587
15:44,66300,1400,66300,0,35362282,1809
15:43,66300,1400,66300,0,35360473,1251
15:42,66300,1400,66300,0,35359222,7816
15:41,66300,1400,66300,0,35351406,1497
15:40,66300,1400,66300,0,35349909,25452
15:30,66300,1400,66300,66200,35324457,5871990
15:19,66000,1100,66000,65900,29452467,111386
15:18,65900,1000,66000,65900,29341081,97892
15:17,65900,1000,66000,65900,29243189,127430
15:16,66000,1100,66000,65900,29115759,61115
15:15,66000,1100,66000,65900,29054644,33838
15:14,66000,1100,66000,65900,29020806,57549
15:13,66000,1100,66000,65900,28963257,30074
15:12,66000,1100,66000,65900,28933183,221468
15:11,65800,900,65900,65800,28711715,35860
15:10,65800,900,65900,65800,28675855,56998
15:09,65900,1000,65900,65800,28618857,51751
15:08,65900,1000,65900,65800,28567106,44196
15:07,65800,900,65900,65800,28522910,40762
15:06,65800,900,65900,65800,28482148,36706
15:05,65800,900,65900,65800,28445442,34818
15:04,65900,1000,65900,65800,28410624,31851
15:03,65800,900,65900,65800,28378773,31283
15:02,65800,900,65900,65800,28347490,30457
15:01,65800,900,65900,65800,28317033,31522
15:00,65800,900,65900,65800,28285511,65018
14:59,65800,900,65900,65800,28220493,23925
14:58,65900,1000,65900,65800,28196568,20474
14:57,65800,900,65900,65800,28176094,35351
14:56,65900,1000,65900,65800,28140743,16880
14:55,65900,1000,65900,65800,28123863,22035
14:54,65800,900,65900,65800,28101828,19949
14:53,65900,1000,65900,65800,28081879,15062
14:52,65900,1000,65900,65800,28066817,17330
14:51,65800,900,65900,65800,28049487,16409
14:50,65800,900,65900,65800,28033078,212073
14:49,65800,900,65800,65700,27821005,38674
14:48,65700,800,65800,65700,27782331,21619
14:47,65800,900,65800,65700,27760712,21791
14:46,65800,900,65800,65700,27738921,181858
14:45,65900,1000,65900,65800,27557063,25912
14:44,65800,900,65900,65800,27531151,23169
14:43,65900,1000,65900,65800,27507982,35261
14:42,65800,900,65900,65800,27472721,44848
14:41,65800,900,65900,65800,27427873,27622
14:40,65900,1000,65900,65800,27400251,14659
14:39,65800,900,65900,65800,27385592,139911
14:38,65900,1000,66000,65900,27245681,49540
14:37,65900,1000,66000,65900,27196141,23812
14:36,65900,1000,66000,65900,27172329,20385
14:35,66000,1100,66000,65900,27151944,26731
14:34,66000,1100,66000,65900,27125213,12326
14:33,65900,1000,66000,65900,27112887,201106
14:32,66100,1200,66100,66000,26911781,37442
14:31,66000,1100,66100,66000,26874339,17820
14:30,66000,1100,66100,66000,26856519,31169
14:29,66000,1100,66100,66000,26825350,11296
14:28,66100,1200,66100,66000,26814054,12913
14:27,66100,1200,66100,66000,26801141,14266
14:26,66000,1100,66100,66000,26786875,9725
14:25,66100,1200,66100,66000,26777150,11184
14:24,66000,1100,66100,66000,26765966,6682
14:23,66000,1100,66100,66000,26759284,10258
14:22,66100,1200,66100,66000,26749026,8294
14:21,66100,1200,66100,66000,26740732,58757
14:20,66200,1300,66200,66100,26681975,26425
14:19,66100,1200,66100,66000,26655550,235779
14:18,66100,1200,66100,66000,26419771,10820
14:17,66100,1200,66100,66000,26408951,9496
14:16,66100,1200,66100,66000,26399455,11275
14:15,66000,1100,66100,66000,26388180,18392
14:14,66000,1100,66100,66000,26369788,117720
14:13,65900,1000,66000,65900,26252068,22720
14:12,65900,1000,66000,65900,26229348,19456
14:11,66000,1100,66000,65900,26209892,14503
14:10,66000,1100,66000,65900,26195389,17273
14:09,66000,1100,66000,65900,26178116,27164
14:08,65900,1000,66000,65900,26150952,31802
14:07,66000,1100,66000,65900,26119150,58776
14:06,66000,1100,66100,66000,26060374,129641
14:05,66000,1100,66100,66000,25930733,21273
14:04,66000,1100,66100,66000,25909460,15043
14:03,66000,1100,66100,66000,25894417,11705
14:02,66000,1100,66100,66000,25882712,14877
14:01,66000,1100,66100,66000,25867835,14575
14:00,66000,1100,66100,66000,25853260,11385
13:59,66100,1200,66100,66000,25841875,13651
13:58,66000,1100,66100,66000,25828224,18029
13:57,66100,1200,66100,66000,25810195,96296
13:56,65900,1000,66000,65900,25713899,30334
13:55,66000,1100,66000,65900,25683565,145062
13:54,66100,1200,66100,66000,25538503,182378
13:53,66100,1200,66100,66000,25356125,25531
13:52,66100,1200,66100,66000,25330594,15944
13:51,66100,1200,66100,66000,25314650,15785
13:50,66100,1200,66100,66000,25298865,17077
13:49,66000,1100,66100,66000,25281788,11642
13:48,66000,1100,66100,66000,25270146,9305
13:47,66100,1200,66100,66000,25260841,12580
