stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20170126.0,53300.0,52500.0,53500.0,52400.0,4517114.0,239592036100.0,0.0,0.0,N,2.0,1600.0,,000660
20170125.0,51700.0,52200.0,52500.0,51600.0,2715809.0,141446130200.0,0.0,0.0,N,2.0,100.0,,000660
20170124.0,51600.0,51300.0,52000.0,51100.0,3449130.0,177616900100.0,0.0,0.0,N,2.0,800.0,,000660
20170123.0,50800.0,49950.0,51000.0,49900.0,4148659.0,209753459500.0,0.0,0.0,N,2.0,1650.0,,000660
20170120.0,49150.0,49700.0,50100.0,49150.0,1943195.0,96154281550.0,0.0,0.0,N,5.0,-450.0,,000660
20170119.0,49600.0,49550.0,50100.0,49100.0,2332268.0,115610934220.0,0.0,0.0,N,2.0,750.0,,000660
20170118.0,48850.0,48950.0,49400.0,48300.0,2974091.0,144988002700.0,0.0,0.0,N,5.0,-450.0,,000660
20170117.0,49300.0,49300.0,50200.0,49250.0,2309955.0,114604813700.0,0.0,0.0,N,3.0,0.0,,000660
20170116.0,49300.0,50100.0,50300.0,48800.0,4974924.0,245390500600.0,0.0,0.0,N,5.0,-1000.0,,000660
20170113.0,50300.0,49850.0,50700.0,49850.0,4219771.0,211612764000.0,0.0,0.0,N,5.0,-300.0,,000660
20170112.0,50600.0,51600.0,51600.0,50400.0,5060622.0,256710131000.0,0.0,0.0,N,5.0,-1000.0,,000660
20170111.0,51600.0,50000.0,51900.0,50000.0,4360058.0,223583642686.0,0.0,0.0,N,2.0,1850.0,,000660
20170110.0,49750.0,49850.0,50200.0,49200.0,2561968.0,127213145450.0,0.0,0.0,N,2.0,200.0,,000660
20170109.0,49550.0,48500.0,49750.0,48200.0,3871999.0,191236382800.0,0.0,0.0,N,2.0,1550.0,,000660
20170106.0,48000.0,47700.0,48450.0,47600.0,3166843.0,152264047279.0,0.0,0.0,N,2.0,1050.0,,000660
20170105.0,46950.0,47000.0,47500.0,46850.0,2377163.0,112240246450.0,0.0,0.0,N,2.0,450.0,,000660
20170104.0,46500.0,47000.0,47150.0,46200.0,2722599.0,127044173975.0,0.0,0.0,N,5.0,-750.0,,000660
20170103.0,47250.0,46200.0,47300.0,46200.0,2655477.0,124284065200.0,0.0,0.0,N,2.0,1450.0,,000660
20170102.0,45800.0,44750.0,46000.0,44600.0,1547681.0,70741238750.0,0.0,0.0,N,2.0,1100.0,,000660
20161229.0,44700.0,45150.0,45200.0,44600.0,1808856.0,81023763700.0,0.0,0.0,N,5.0,-650.0,,000660
20161228.0,45350.0,45350.0,45750.0,45100.0,1296254.0,58862600300.0,2.0,0.0,N,5.0,-300.0,,000660
20161227.0,45650.0,45550.0,45950.0,45400.0,1175619.0,53721001850.0,0.0,0.0,N,3.0,0.0,,000660
20161226.0,45650.0,46200.0,46600.0,45250.0,1603230.0,73414513200.0,0.0,0.0,N,5.0,-650.0,,000660
20161223.0,46300.0,46200.0,46400.0,45950.0,2982024.0,137862626550.0,0.0,0.0,N,2.0,800.0,,000660
20161222.0,45500.0,46000.0,46650.0,45150.0,4045912.0,185843972475.0,0.0,0.0,N,2.0,500.0,,000660
20161221.0,45000.0,45500.0,45750.0,45000.0,1662010.0,75459948900.0,0.0,0.0,N,5.0,-150.0,,000660
20161220.0,45150.0,45400.0,45550.0,44950.0,1110753.0,50221438750.0,0.0,0.0,N,3.0,0.0,,000660
20161219.0,45150.0,46250.0,46300.0,45050.0,1997194.0,90996663400.0,0.0,0.0,N,5.0,-1250.0,,000660
20161216.0,46400.0,45800.0,46450.0,45700.0,2100809.0,97050029200.0,0.0,0.0,N,2.0,800.0,,000660
20161215.0,45600.0,45850.0,46050.0,45000.0,1828843.0,83216786950.0,0.0,0.0,N,5.0,-250.0,,000660
20161214.0,45850.0,45350.0,46100.0,45350.0,2010708.0,92037836750.0,0.0,0.0,N,2.0,900.0,,000660
20161213.0,44950.0,44700.0,45700.0,44700.0,1822952.0,82213098100.0,0.0,0.0,N,5.0,-350.0,,000660
20161212.0,45300.0,45750.0,45850.0,44850.0,1440589.0,65348111732.0,0.0,0.0,N,5.0,-200.0,,000660
20161209.0,45500.0,46450.0,46750.0,45450.0,3003326.0,137771228250.0,0.0,0.0,N,5.0,-750.0,,000660
20161208.0,46250.0,46200.0,46650.0,46100.0,3313157.0,153631267750.0,0.0,0.0,N,2.0,1000.0,,000660
20161207.0,45250.0,45750.0,45800.0,45200.0,1984369.0,90333482150.0,0.0,0.0,N,2.0,50.0,,000660
20161206.0,45200.0,44700.0,45500.0,44600.0,3099065.0,140049383300.0,0.0,0.0,N,2.0,800.0,,000660
20161205.0,44400.0,44050.0,44600.0,43800.0,1703219.0,75593954350.0,0.0,0.0,N,3.0,0.0,,000660
20161202.0,44400.0,43350.0,44500.0,43300.0,4244113.0,186230428125.0,0.0,0.0,N,2.0,200.0,,000660
20170801.0,65500.0,65300.0,66500.0,64700.0,3744523.0,245936661800.0,0.0,0.0,N,5.0,-500.0,,000660
20170731.0,66000.0,63700.0,66000.0,63700.0,4769724.0,311774802900.0,0.0,0.0,N,2.0,1400.0,,000660
20170728.0,64600.0,67800.0,67900.0,64200.0,8093780.0,529573265800.0,0.0,0.0,N,5.0,-3800.0,,000660
20170727.0,68400.0,66800.0,69500.0,66800.0,6177375.0,422605233366.0,0.0,0.0,N,2.0,1600.0,,000660
20170726.0,66800.0,69600.0,69900.0,66700.0,9659618.0,655041950200.0,0.0,0.0,N,5.0,-3600.0,,000660
20170725.0,70400.0,72900.0,73000.0,70100.0,6028435.0,430840972164.0,0.0,0.0,N,5.0,-2600.0,,000660
20170724.0,73000.0,71300.0,73000.0,71000.0,3598173.0,260435962400.0,0.0,0.0,N,2.0,1800.0,,000660
20170721.0,71200.0,70800.0,71300.0,70300.0,1599111.0,113487450900.0,0.0,0.0,N,5.0,-100.0,,000660
20170720.0,71300.0,71400.0,71700.0,70800.0,1647153.0,117296305900.0,0.0,0.0,N,2.0,300.0,,000660
20170719.0,71000.0,71200.0,71200.0,70000.0,2009799.0,141783535300.0,0.0,0.0,N,2.0,200.0,,000660
20170718.0,70800.0,70700.0,71800.0,70600.0,2066194.0,146851971332.0,0.0,0.0,N,5.0,-400.0,,000660
20170717.0,71200.0,71800.0,71900.0,70200.0,2804598.0,199067687800.0,0.0,0.0,N,2.0,100.0,,000660
20170714.0,71100.0,71400.0,72200.0,70700.0,2931832.0,209076118500.0,0.0,0.0,N,2.0,500.0,,000660
20170713.0,70600.0,69500.0,71900.0,69200.0,5432312.0,384125703900.0,0.0,0.0,N,2.0,1700.0,,000660
20170712.0,68900.0,68700.0,69500.0,68400.0,3462150.0,238603607800.0,0.0,0.0,N,5.0,-100.0,,000660
20170711.0,69000.0,67400.0,69000.0,66900.0,3187332.0,217623977100.0,0.0,0.0,N,2.0,1700.0,,000660
20170710.0,67300.0,67000.0,67500.0,65700.0,2667048.0,178451526600.0,0.0,0.0,N,2.0,700.0,,000660
20170707.0,66600.0,67600.0,68400.0,66100.0,3242213.0,217837386800.0,0.0,0.0,N,5.0,-1500.0,,000660
20170706.0,68100.0,69000.0,69400.0,67500.0,4048922.0,276423779700.0,0.0,0.0,N,2.0,100.0,,000660
20170705.0,68000.0,65600.0,68200.0,65300.0,4557456.0,306513708200.0,0.0,0.0,N,2.0,2200.0,,000660
20170704.0,65800.0,65900.0,67100.0,65300.0,2895782.0,190871324100.0,0.0,0.0,N,5.0,-500.0,,000660
20170703.0,66300.0,66500.0,66900.0,65500.0,3763473.0,248130896500.0,0.0,0.0,N,5.0,-1100.0,,000660
20170630.0,67400.0,67400.0,67800.0,67000.0,3230282.0,217339950820.0,0.0,0.0,N,5.0,-1100.0,,000660
20170629.0,68500.0,67900.0,68800.0,67100.0,3702501.0,251084109660.0,0.0,0.0,N,2.0,1300.0,,000660
20170628.0,67200.0,68100.0,69200.0,66800.0,5520578.0,374804364000.0,0.0,0.0,N,5.0,-2000.0,,000660
20170627.0,69200.0,68200.0,69600.0,67000.0,4951341.0,339377416500.0,0.0,0.0,N,2.0,1700.0,,000660
20170626.0,67500.0,65000.0,67500.0,65000.0,3516630.0,234090652100.0,0.0,0.0,N,2.0,2500.0,,000660
20170623.0,65000.0,64500.0,65400.0,63500.0,3189590.0,205414785800.0,0.0,0.0,N,3.0,0.0,,000660
20170622.0,65000.0,66500.0,66500.0,64500.0,4977159.0,326647334900.0,0.0,0.0,N,2.0,200.0,,000660
20170621.0,64800.0,63300.0,66300.0,62900.0,5650669.0,364462864342.0,0.0,0.0,N,2.0,800.0,,000660
20170620.0,64000.0,64700.0,65400.0,63700.0,6519471.0,421413493078.0,0.0,0.0,N,2.0,1200.0,,000660
20170619.0,62800.0,61300.0,63200.0,61300.0,5315543.0,331926635700.0,0.0,0.0,N,2.0,2300.0,,000660
20170616.0,60500.0,61100.0,61600.0,59900.0,3932203.0,238638756100.0,0.0,0.0,N,5.0,-100.0,,000660
20170615.0,60600.0,59300.0,61000.0,59300.0,4549233.0,273602192540.0,0.0,0.0,N,2.0,1300.0,,000660
20170614.0,59300.0,59200.0,60000.0,58800.0,4441904.0,263819763800.0,0.0,0.0,N,2.0,500.0,,000660
20170613.0,58800.0,57700.0,58900.0,56900.0,3431811.0,198717312937.0,0.0,0.0,N,2.0,1300.0,,000660
20170612.0,57500.0,57200.0,57900.0,56800.0,2650404.0,152098692600.0,0.0,0.0,N,5.0,-800.0,,000660
20170609.0,58300.0,56700.0,58400.0,56500.0,4799560.0,277059923500.0,0.0,0.0,N,2.0,1600.0,,000660
20170608.0,56700.0,56500.0,57000.0,56200.0,3943311.0,223290006300.0,0.0,0.0,N,2.0,200.0,,000660
20170607.0,56500.0,55900.0,56900.0,55400.0,3040030.0,171074739646.0,0.0,0.0,N,2.0,400.0,,000660
20170605.0,56100.0,57200.0,57200.0,55900.0,2525078.0,142111903878.0,0.0,0.0,N,5.0,-1000.0,,000660
20170602.0,57100.0,56900.0,57500.0,56400.0,2481215.0,141284324000.0,0.0,0.0,N,2.0,700.0,,000660
20170601.0,56400.0,56700.0,56900.0,56100.0,2006611.0,113246671800.0,0.0,0.0,N,5.0,-600.0,,000660
20170531.0,57000.0,57400.0,57900.0,56500.0,3314659.0,189595788500.0,0.0,0.0,N,5.0,-400.0,,000660
20170530.0,57400.0,58200.0,58400.0,56600.0,2368225.0,135611819000.0,0.0,0.0,N,5.0,-500.0,,000660
20170529.0,57900.0,57700.0,58800.0,57100.0,3294700.0,191428238700.0,0.0,0.0,N,2.0,800.0,,000660
20170526.0,57100.0,56000.0,57100.0,56000.0,3145737.0,178594395600.0,0.0,0.0,N,2.0,1300.0,,000660
