stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20240429,421000,412000,421000,411000,233608,97463209000,0,0.0,N,2,12500,,030200
20240426,408500,414500,416500,406000,239111,97915559000,0,0.0,N,5,-5000,,030200
20240425,413500,414000,425000,413500,252901,105627123500,0,0.0,N,5,-8500,,030200
20240424,422000,422000,428500,417000,337918,142599961500,0,0.0,N,2,15000,,030200
20240423,407000,417000,422500,407000,294568,121708113500,0,0.0,N,5,-14500,,030200
20240422,421500,409000,421500,403500,342272,141492570500,0,0.0,N,2,20500,,030200
20240419,401000,400000,411500,395000,335045,134378995500,0,0.0,N,5,-4500,,030200
20240418,405500,390000,408000,390000,322387,129715873500,0,0.0,N,2,19500,,030200
20240417,386000,388500,399500,386000,267059,104634938000,0,0.0,N,5,-500,,030200
20240416,386500,387000,391000,384500,245249,94884089000,0,0.0,N,5,-7500,,030200
20240415,394000,396500,401000,392500,274388,108596416000,0,0.0,N,5,-7000,,030200
20240412,401000,410000,411000,401000,269656,109042963000,0,0.0,N,5,-6500,,030200
20240411,407500,403000,415500,401000,316145,129718952500,0,0.0,N,5,-3500,,030200
20240409,411000,425000,426500,411000,313504,130511646000,0,0.0,N,5,-9000,,030200
20240408,420000,415500,428500,407000,461096,192048185000,0,0.0,N,5,-500,,030200
20240405,420500,433500,434500,420000,429686,182279169500,0,0.0,N,5,-21500,,030200
20240404,442000,434000,448000,432000,449367,197143020500,0,0.0,N,2,14000,,030200
20240403,428000,441500,445000,428000,601115,260054794000,0,0.0,N,5,-25000,,030200
20240402,453000,453000,463500,452500,369009,168447917000,0,0.0,N,5,-1000,,030200
20240401,454000,469000,470000,453500,455659,207937501000,0,0.0,N,5,-17000,,030200
20240329,471000,477500,478000,460000,586778,273673352000,0,0.0,N,5,-6500,,030200
20240328,477500,487000,488000,475500,485116,233240273000,0,0.0,N,5,-3000,,030200
20240327,480500,477000,491500,476500,577141,278976575500,0,0.0,N,2,7500,,030200
20240326,473000,488500,493500,471500,822461,396916734646,0,0.0,N,5,-13000,,030200
20240325,486000,478000,494500,475000,840495,409179508728,0,0.0,N,2,13500,,030200
20240322,472500,454500,475000,453500,779394,364414171000,0,0.0,N,2,17000,,030200
20240321,455500,456000,465000,454000,537490,246475541000,0,0.0,N,2,2500,,030200
20240320,453000,450500,471500,445500,910857,419149151280,0,0.0,N,2,2000,,030200
20240319,451000,451500,454500,438500,655915,293146862500,0,0.0,N,2,7000,,030200
20240318,444000,425000,448000,424500,569305,249578732000,0,0.0,N,2,19000,,030200
20240315,425000,437000,438000,422000,785190,335613221500,0,0.0,N,5,-21000,,030200
20240314,446000,454500,465000,441500,799779,359865003500,0,0.0,N,5,-13500,,030200
20240313,459500,453500,468500,447000,1060664,486393254000,0,0.0,N,3,0,,030200
20240312,459500,421500,461000,421500,1470069,650697201000,0,0.0,N,2,46000,,030200
20240311,413500,421000,424500,411000,533937,222433320500,0,0.0,N,5,-12500,,030200
20240308,426000,420500,442500,418000,1764503,761622730500,0,0.0,N,2,14000,,030200
20240307,412000,369000,417000,368000,1771829,710120281000,0,0.0,N,2,47500,,030200
20240306,364500,365000,369000,363000,220362,80463893000,0,0.0,N,5,-2000,,030200
20240305,366500,371000,371500,366000,296735,109258515000,0,0.0,N,5,-8000,,030200
20240304,374500,377500,383000,373500,302231,113942353425,0,0.0,N,5,-2500,,030200
20240229,377000,381000,382500,376000,246129,93137018000,0,0.0,N,5,-4500,,030200
20240228,381500,384500,393000,381500,191287,73751954000,0,0.0,N,2,500,,030200
20240227,381000,391000,393500,381000,260974,100688259000,0,0.0,N,5,-10000,,030200
20240226,391000,388000,394000,386000,183001,71531879500,0,0.0,N,2,2500,,030200
20240223,388500,396000,397000,388000,239275,93697201000,0,0.0,N,5,-6500,,030200
