stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20220801,61300,61000,61700,60300,13154816,803034710500,00,0.00,N,5,-100,
20220729,61400,62400,62600,61300,15093120,932917972000,00,0.00,N,5,-500,
20220728,61900,62300,62600,61600,10745302,667085256100,00,0.00,N,2,100,
20220727,61800,61300,61900,61200,7320997,449989960800,00,0.00,N,2,100,
20220726,61700,60800,61900,60800,6597211,405310045900,00,0.00,N,2,600,
20220725,61100,60900,61900,60800,9193681,565540190900,00,0.00,N,5,-200,
20220722,61300,61800,62200,61200,10261310,631872940300,00,0.00,N,5,-500,
20220721,61800,61100,61900,60700,12291374,754854999650,00,0.00,N,2,1300,
20220720,60500,61800,62100,60500,16782238,1025939109200,00,0.00,N,5,-400,
20220719,60900,61400,61500,60200,15248261,925919721166,00,0.00,N,5,-1000,
20220718,61900,60600,62000,60500,20832517,1277727157981,00,0.00,N,2,1900,
20220715,60000,58400,60000,58100,18685583,1104045143300,00,0.00,N,2,2500,
20220714,57500,57500,58200,57400,15067012,869131233435,00,0.00,N,5,-500,
20220713,58000,58300,58600,58000,10841315,631711977700,00,0.00,N,5,-100,
20220712,58100,58600,58700,58100,9336061,544403361000,00,0.00,N,5,-700,
20220711,58800,59300,59600,58700,13042624,771042671500,00,0.00,N,2,100,
20220708,58700,58600,59300,58200,15339271,902198939736,00,0.00,N,2,500,
20220707,58200,56400,58700,56300,21322833,1234677644065,00,0.00,N,2,1800,
20220706,56400,57300,57300,56400,16820461,955957046500,00,0.00,N,5,-800,
20220705,57200,57600,58200,57200,14216539,818079785900,00,0.00,N,2,100,
20220704,57100,56100,57400,55700,17807126,1012586831300,00,0.00,N,2,900,
20220701,56200,56900,57500,55900,24982097,1412473217495,00,0.00,N,5,-800,
20220630,57000,57200,57600,57000,18915142,1082799462452,00,0.00,N,5,-1000,
20220629,58000,58500,58800,58000,14677138,855770425874,00,0.00,N,5,-1400,
20220628,59400,59200,59500,58700,13540538,800041009700,00,0.00,N,2,600,
20220627,58800,59000,59900,58300,18122236,1071186745402,00,0.00,N,2,400,
20220624,58400,57900,59100,57700,23256103,1359292776100,00,0.00,N,2,1000,
20220623,57400,57700,58000,56800,28338608,1627019443340,00,0.00,N,5,-200,
20220622,57600,59000,59100,57600,23334687,1360076149300,00,0.00,N,5,-900,
20220621,58500,58700,59200,58200,25148109,1474998298400,00,0.00,N,5,-200,
20220620,58700,59800,59900,58100,34111306,1997076972175,00,0.00,N,5,-1100,
20220617,59800,59400,59900,59400,29053450,1732449618748,00,0.00,N,5,-1100,
20220616,60900,61300,61800,60500,23394895,1431052309321,00,0.00,N,2,200,
20220615,60700,61300,61500,60200,26811224,1630190882434,00,0.00,N,5,-1200,
20220614,61900,61200,62200,61100,24606419,1519195265000,00,0.00,N,5,-200,
20220613,62100,62400,62800,62100,22157816,1380636801900,00,0.00,N,5,-1700,
20220610,63800,64000,64400,63800,22193552,1419245099700,00,0.00,N,5,-1400,
20220609,65200,65100,65200,64500,25790725,1673763680952,00,0.00,N,5,-100,
20220608,65300,65400,65700,65300,12483180,817379109300,00,0.00,N,5,-200,
20220607,65500,66200,66400,65400,19355755,1273444989300,00,0.00,N,5,-1300,
20220603,66800,67200,67300,66800,8222883,550654655700,00,0.00,N,2,100,
20220602,66700,66600,67000,66400,14959443,996681075588,00,0.00,N,5,-700,
20220531,67400,67500,67500,66700,24365002,1637773742750,00,0.00,N,5,-300,
20220530,67700,67500,67800,66900,14255484,960592764000,00,0.00,N,2,1200,
20220527,66500,66700,66900,66200,11405555,759034579700,00,0.00,N,2,600,
20220526,65900,66300,67200,65500,15970890,1057298883100,00,0.00,N,5,-500,
20220525,66400,66700,67100,65900,15150490,1007805029400,00,0.00,N,5,-100,
20220524,66500,67500,67700,66500,15482576,1035492905500,00,0.00,N,5,-1400,
20220523,67900,68800,68800,67600,13684088,931341158100,00,0.00,N,5,-100,
20220520,68000,67800,68400,67700,12109671,824048609800,00,0.00,N,2,500,
20220519,67500,66500,67600,66500,17073727,1147743790508,00,0.00,N,5,-600,
20220518,68100,68300,68700,67600,16486319,1122585202585,00,0.00,N,2,500,
20220517,67600,66600,67900,66600,15680447,1058322764800,00,0.00,N,2,1300,
20220516,66300,67100,67400,66100,11937555,796060691900,00,0.00,N,5,-200,
20220513,66500,65300,66700,65200,14551536,962476162900,00,0.00,N,2,1600,
20220512,64900,65200,65500,64900,16414188,1069685385550,00,0.00,N,5,-800,
20220511,65700,65500,66300,65200,12330920,812298026600,00,0.00,N,3,0,
20220510,65700,65900,66300,65300,17235605,1132067708900,00,0.00,N,5,-400,
20220509,66100,66300,66900,66100,11858736,787562955000,00,0.00,N,5,-400,
20220506,66500,67000,67100,66500,14356156,957335193600,00,0.00,N,5,-1400,
20220504,67900,68000,68400,67500,11505248,781073326235,00,0.00,N,2,400,
20220503,67500,67400,68400,67300,14168875,962643054300,00,0.00,N,2,200,
20220502,67300,66600,67600,66500,14106184,946016270200,00,0.00,N,5,-100,
20220429,67400,65100,67600,65000,26190390,1747030218800,00,0.00,N,2,2600,
20220428,64800,65400,65500,64500,16895527,1094277578880,00,0.00,N,5,-200,
20220427,65000,65400,65500,64900,18122084,1179918512650,00,0.00,N,5,-1100,
20220426,66100,66400,66700,66100,12946923,858461258448,00,0.00,N,5,-200,
20220425,66300,66500,66700,66300,11016474,731676244400,00,0.00,N,5,-700,
20220422,67000,67200,67300,66700,11791478,789392306300,00,0.00,N,5,-700,
20220421,67700,67600,68300,67500,12847448,872983300180,00,0.00,N,2,300,
20220420,67400,67000,67400,66500,16693293,1116160503800,00,0.00,N,2,100,
20220419,67300,67100,68000,67000,12959434,876087930051,00,0.00,N,2,600,
20220418,66700,66500,67100,66100,10119203,675310095100,00,0.00,N,2,100,
20220415,66600,67200,67300,66500,13176415,878858388800,00,0.00,N,5,-900,
20220414,67500,68700,68700,67500,16409494,1112667612000,00,0.00,N,5,-1200,
20220413,68700,67300,69000,67200,17378619,1183210424500,00,0.00,N,2,1700,
20220412,67000,67600,67700,67000,13924389,936611863500,00,0.00,N,5,-900,
20220411,67900,67800,68100,67400,12263735,831094572700,00,0.00,N,2,100,
20220408,67800,68100,68300,67700,15453191,1050375034852,00,0.00,N,5,-200,
20220407,68000,68500,68500,68000,20683327,1409872624700,00,0.00,N,5,-500,
20220406,68500,68600,68800,68500,15517308,1064606110092,00,0.00,N,5,-700,
20220405,69200,69400,69600,69100,8467248,586498194900,00,0.00,N,5,-100,
20220404,69300,68900,69300,68600,11107905,766930294459,00,0.00,N,2,200,
