체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,319500,9500,319500,0,275931,11
15:56,319500,9500,319500,0,275920,1
15:51,319500,9500,319500,0,275919,30
15:49,319500,9500,319500,0,275889,7
15:45,319500,9500,0,0,275882,91
15:44,319500,9500,319500,0,275791,1
15:43,319500,9500,319500,0,275790,2
15:42,319500,9500,319500,0,275788,1
15:41,319500,9500,319500,0,275787,3
15:40,319500,9500,0,0,275784,447
15:30,319500,9500,319500,319000,275337,15541
15:19,320500,10,320500,320000,259796,1271
15:18,320000,10,320500,320000,258525,1562
15:17,320500,10,320500,320000,256963,318
15:16,320000,10,320500,320000,256645,1294
15:15,320500,10,320500,320000,255351,416
15:14,320000,10,320500,320000,254935,329
15:13,320500,10,320500,320000,254606,738
15:12,320000,10,320500,320000,253868,654
15:11,320500,10,320500,320000,253214,881
15:10,321000,11,321000,320500,252333,2008
15:09,320000,10,320000,319500,250325,1074
15:08,320000,10,320500,320000,249251,4360
15:07,319500,9500,319500,319000,244891,867
15:06,319000,9000,319500,319000,244024,3026
15:05,318000,8000,318000,317500,240998,600
15:04,318000,8000,318000,317500,240398,157
15:03,318000,8000,318000,317500,240241,331
15:02,317500,7500,318000,317500,239910,255
15:01,317500,7500,318000,317000,239655,648
15:00,316500,6500,317000,316500,239007,826
14:59,317000,7000,317500,317000,238181,278
14:58,317500,7500,317500,317000,237903,197
14:57,317500,7500,317500,317000,237706,1093
14:56,316000,6000,316500,316000,236613,558
14:55,316000,6000,316500,316000,236055,243
14:54,316000,6000,316500,316000,235812,109
14:53,316000,6000,316500,316000,235703,311
14:52,316000,6000,316000,315500,235392,261
14:51,315500,5500,315500,315000,235131,1433
14:50,315500,5500,316000,315500,233698,878
14:49,315500,5500,316000,315500,232820,1768
14:48,316500,6500,316500,316000,231052,83
14:47,316500,6500,316500,316000,230969,235
14:46,316000,6000,316500,316000,230734,162
14:45,316000,6000,316500,316000,230572,272
14:44,316500,6500,316500,316000,230300,188
14:43,316500,6500,316500,316000,230112,128
14:42,316500,6500,316500,316000,229984,84
14:41,316500,6500,316500,316000,229900,129
14:40,316000,6000,316500,316000,229771,221
14:39,316000,6000,316500,316000,229550,115
14:38,316000,6000,316500,316000,229435,158
14:37,316000,6000,316500,316000,229277,293
14:36,316000,6000,316500,316000,228984,294
14:35,316000,6000,316500,316000,228690,141
14:34,316500,6500,316500,316000,228549,210
14:33,316000,6000,316500,316000,228339,769
14:32,316500,6500,316500,316000,227570,1128
14:31,316500,6500,317000,316500,226442,1609
14:30,317500,7500,317500,317000,224833,151
14:29,317000,7000,317500,317000,224682,88
14:28,318000,8000,318000,317500,224594,110
14:27,317500,7500,317500,317000,224484,361
14:26,317500,7500,317500,317000,224123,63
14:25,317500,7500,317500,317000,224060,177
14:24,317500,7500,317500,317000,223883,133
14:23,317000,7000,317500,317000,223750,38
14:22,317500,7500,317500,317000,223712,124
14:21,317500,7500,317500,317000,223588,164
14:20,316500,6500,317000,316500,223424,678
14:19,316500,6500,317000,316500,222746,162
14:18,316500,6500,317000,316500,222584,87
14:17,317000,7000,317000,316500,222497,97
14:16,317000,7000,317000,316500,222400,216
14:15,316500,6500,317000,316500,222184,110
14:14,316500,6500,317000,316500,222074,102
14:13,317000,7000,317000,316500,221972,144
14:12,316500,6500,317000,316500,221828,222
14:11,316500,6500,317000,316500,221606,147
14:10,316500,6500,317000,316500,221459,36
14:09,317000,7000,317000,316500,221423,558
14:08,317000,7000,318000,317000,220865,594
14:07,317500,7500,317500,317000,220271,85
14:06,317000,7000,317500,317000,220186,120
14:05,317500,7500,317500,317000,220066,45
14:04,317000,7000,317500,317000,220021,130
14:03,317000,7000,317500,317000,219891,79
14:02,317000,7000,317500,317000,219812,110
14:01,317000,7000,317500,317000,219702,99
14:00,317500,7500,317500,317000,219603,273
13:59,317000,7000,317500,317000,219330,70
13:58,317000,7000,317500,317000,219260,126
13:57,317000,7000,317500,317000,219134,55
13:56,317000,7000,317500,317000,219079,100
13:55,317000,7000,317500,317000,218979,412
13:54,317000,7000,317500,317000,218567,358
13:53,317500,7500,318000,317500,218209,586
13:52,317500,7500,318000,317500,217623,67
13:51,318000,8000,318000,317500,217556,79
13:50,317500,7500,318000,317500,217477,108
13:49,318000,8000,318000,317500,217369,1367
13:48,317500,7500,318500,317500,216002,159
13:47,318000,8000,318000,317500,215843,115
13:46,318000,8000,318500,318000,215728,74
13:45,318000,8000,318500,318000,215654,1065
13:44,318000,8000,318000,317500,214589,115
13:43,317500,7500,318000,317500,214474,436
13:42,317000,7000,317500,317000,214038,159
13:41,317500,7500,317500,317000,213879,212
13:40,317000,7000,317500,317000,213667,77
13:39,317000,7000,317500,317000,213590,76
13:38,317500,7500,317500,317000,213514,173
13:37,318000,8000,318000,317500,213341,183
13:36,317500,7500,318000,317500,213158,47
13:35,318000,8000,318000,317500,213111,284
13:34,317500,7500,317500,317000,212827,107
13:33,317500,7500,317500,317000,212720,151
13:32,317000,7000,317500,317000,212569,98
13:31,317500,7500,317500,317000,212471,135
13:30,317500,7500,318000,317500,212336,98
13:29,317500,7500,318000,317500,212238,293
13:28,318000,8000,318000,317500,211945,82
13:27,317500,7500,318000,317500,211863,96
13:26,318000,8000,318000,317500,211767,930
13:25,317000,7000,317500,317000,210837,54
13:24,317000,7000,317500,317000,210783,290
13:23,317000,7000,317000,316500,210493,159
13:22,317000,7000,317000,316500,210334,68
13:21,316500,6500,317000,316500,210266,465
13:20,316500,6500,317000,316500,209801,121
13:19,317000,7000,317000,316500,209680,186
13:18,317000,7000,317000,316500,209494,1985
13:17,317500,7500,317500,317000,207509,216
13:16,317500,7500,317500,317000,207293,949
13:15,317500,7500,318000,317500,206344,1193
13:14,318000,8000,318500,318000,205151,1248
13:13,318500,8500,319000,318500,203903,33
13:12,318500,8500,319000,318500,203870,62
