stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20230801,670000,664000,676000,664000,316546,211939374000,00,0.00,N,2,5000,
20230731,665000,664000,679000,658000,396958,264036229000,00,0.00,N,2,2000,
20230728,663000,667000,671000,658000,311265,206448333006,00,0.00,N,2,1000,
20230727,662000,700000,701000,660000,560783,378317551000,00,0.00,N,5,-41000,
20230726,703000,711000,735000,698000,630733,449330050544,00,0.00,N,5,-9000,
20230725,712000,727000,727000,698000,284582,202010820000,00,0.00,N,3,0,
20230724,712000,684000,715000,680000,404793,284298225867,00,0.00,N,2,26000,
20230721,686000,678000,687000,676000,163870,111806118000,00,0.00,N,2,1000,
20230720,685000,685000,695000,683000,213207,146593969000,00,0.00,N,5,-10000,
20230719,695000,699000,701000,682000,299355,207192764512,00,0.00,N,5,-4000,
20230718,699000,702000,704000,687000,275226,191234489690,00,0.00,N,2,4000,
20230717,695000,703000,708000,693000,198023,138380519000,00,0.00,N,5,-21000,
20230714,716000,721000,724000,708000,185435,132825203000,00,0.00,N,2,1000,
20230713,715000,695000,720000,694000,281166,200081511000,00,0.00,N,2,26000,
20230712,689000,691000,699000,685000,103061,71042524000,00,0.00,N,2,3000,
20230711,686000,689000,696000,685000,112989,77871034000,00,0.00,N,2,1000,
20230710,685000,698000,700000,682000,167259,115202804000,00,0.00,N,5,-12000,
20230707,697000,700000,705000,694000,134175,93790687000,00,0.00,N,5,-6000,
20230706,703000,711000,711000,693000,178044,124727446684,00,0.00,N,5,-5000,
20230705,708000,715000,715000,704000,130151,92248540000,00,0.00,N,5,-3000,
20230704,711000,722000,722000,708000,243325,173867325000,00,0.00,N,5,-6000,
20230703,717000,680000,717000,677000,341742,240648467000,00,0.00,N,2,48000,
20230630,669000,666000,676000,653000,253831,168385799727,00,0.00,N,2,4000,
20230629,665000,657000,679000,656000,225876,151225929719,00,0.00,N,2,8000,
20230628,657000,684000,684000,657000,268136,178563334000,00,0.00,N,5,-21000,
20230627,678000,676000,683000,674000,162584,110167338500,00,0.00,N,5,-5000,
20230626,683000,677000,687000,674000,139271,94997137000,00,0.00,N,3,0,
20230623,683000,694000,698000,681000,186774,128279695000,00,0.00,N,5,-12000,
20230622,695000,687000,699000,687000,154204,107070949000,00,0.00,N,3,0,
20230621,695000,704000,716000,694000,187104,131310586000,00,0.00,N,5,-7000,
20230620,702000,704000,706000,691000,229017,160132000000,00,0.00,N,5,-13000,
20230619,715000,726000,729000,713000,165447,118723303000,00,0.00,N,5,-12000,
20230616,727000,729000,734000,722000,178267,129736993000,00,0.00,N,3,0,
20230615,727000,727000,735000,719000,175549,127366859500,00,0.00,N,5,-4000,
20230614,731000,740000,744000,725000,198157,145525511304,00,0.00,N,5,-11000,
20230613,742000,740000,745000,735000,146848,108691677000,00,0.00,N,2,2000,
20230612,740000,742000,745000,734000,136383,100694272000,00,0.00,N,2,5000,
20230609,735000,729000,735000,726000,150901,110401874000,00,0.00,N,2,6000,
20230608,729000,736000,736000,717000,197396,143625853000,00,0.00,N,5,-6000,
20230607,735000,722000,740000,719000,228145,167172463566,00,0.00,N,2,18000,
20230605,717000,722000,722000,710000,77553,55515221000,00,0.00,N,2,2000,
20230602,715000,708000,718000,706000,155491,110838316000,00,0.00,N,2,7000,
20230601,708000,718000,721000,706000,134626,95733104000,00,0.00,N,5,-10000,
20230531,718000,712000,723000,712000,280762,201749258178,00,0.00,N,3,0,
20230530,718000,698000,724000,698000,208259,149006757406,00,0.00,N,2,25000,
20230526,693000,697000,703000,693000,124561,86846720000,00,0.00,N,5,-7000,
20230525,700000,704000,711000,700000,179880,126363701000,00,0.00,N,5,-14000,
20230524,714000,700000,714000,700000,140941,99993548500,00,0.00,N,2,4000,
20230523,710000,703000,714000,699000,175511,124320085184,00,0.00,N,2,10000,
20230522,700000,701000,706000,692000,152734,107043951000,00,0.00,N,2,2000,
20230519,698000,692000,698000,683000,228854,158615216000,00,0.00,N,2,6000,
20230518,692000,694000,695000,686000,141399,97663646000,00,0.00,N,2,1000,
20230517,691000,670000,692000,668000,178280,122040760000,00,0.00,N,2,20000,
20230516,671000,678000,685000,670000,136572,92317728000,00,0.00,N,5,-3000,
20230515,674000,666000,675000,655000,189664,126392454120,00,0.00,N,2,9000,
20230512,665000,664000,672000,663000,146189,97524173000,00,0.00,N,5,-5000,
20230511,670000,673000,676000,667000,178109,119519684040,00,0.00,N,5,-2000,
20230510,672000,676000,687000,670000,142401,96335778178,00,0.00,N,5,-8000,
20230509,680000,686000,689000,667000,200372,135159307750,00,0.00,N,5,-4000,
20230508,684000,685000,691000,678000,206578,141656543000,00,0.00,N,3,0,
20230504,684000,681000,692000,675000,174917,119737103000,00,0.00,N,3,0,
20230503,684000,698000,698000,680000,223955,153298699000,00,0.00,N,5,-16000,
20230502,700000,695000,703000,691000,220723,153897923242,00,0.00,N,2,9000,
20230428,691000,711000,711000,682000,545959,378233787000,00,0.00,N,5,-15000,
20230427,706000,703000,710000,696000,263169,185218599000,00,0.00,N,2,3000,
20230426,703000,707000,721000,701000,220437,155850026000,00,0.00,N,5,-3000,
20230425,706000,735000,737000,698000,258603,184380213000,00,0.00,N,5,-20000,
20230424,726000,734000,740000,721000,161151,117378205000,00,0.00,N,5,-8000,
20230421,734000,746000,756000,729000,206651,152445174000,00,0.00,N,5,-15000,
20230420,749000,753000,765000,746000,182001,136928574000,00,0.00,N,5,-9000,
20230419,758000,766000,766000,752000,221589,167981014478,00,0.00,N,5,-8000,
20230418,766000,755000,774000,746000,291568,222491893000,00,0.00,N,2,11000,
20230417,755000,757000,760000,749000,214568,161851809000,00,0.00,N,5,-7000,
20230414,762000,773000,775000,750000,236270,179730128000,00,0.00,N,5,-7000,
20230413,769000,753000,769000,744000,278712,212309363246,00,0.00,N,2,5000,
20230412,764000,776000,779000,751000,290987,222668326000,00,0.00,N,5,-3000,
20230411,767000,756000,776000,746000,441472,336456939000,00,0.00,N,2,18000,
20230410,749000,738000,756000,735000,352685,263848803000,00,0.00,N,2,11000,
20230407,738000,742000,747000,731000,259085,191613326000,00,0.00,N,5,-7000,
20230406,745000,764000,766000,741000,402833,301965555000,00,0.00,N,5,-33000,
20230405,778000,730000,787000,727000,470031,357641008000,00,0.00,N,2,52000,
20230404,726000,740000,750000,724000,208636,153616188000,00,0.00,N,5,-19000,
20230403,745000,750000,750000,730000,222650,165048247000,00,0.00,N,2,10000,
