stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20190401,155000,158000,158000,154000,10890,1688173500,00,0.00,N,5,-3500,
20190329,158500,160000,161000,153500,20884,3259278500,00,0.00,N,5,-1500,
20190328,160000,158500,166500,156500,41195,6640398500,00,0.00,N,2,5500,
20190327,154500,151500,156500,149500,11630,1778745500,00,0.00,N,2,4500,
20190326,150000,147000,152000,147000,7623,1142496000,00,0.00,N,2,3000,
20190325,147000,151000,154500,145500,12803,1920688500,00,0.00,N,5,-8000,
20190322,155000,153000,160000,150500,17814,2792914000,00,0.00,N,2,3000,
20190321,152000,155500,158500,152000,10684,1637567000,00,0.00,N,5,-4000,
20190320,156000,159500,159500,154000,15492,2417738000,00,0.00,N,5,-4000,
20190319,160000,165000,165500,158500,9587,1546047000,00,0.00,N,5,-2500,
20190318,162500,154000,163500,154000,23998,3862429000,00,0.00,N,2,8500,
20190315,154000,158000,158000,151500,12109,1863471000,00,0.00,N,5,-4000,
20190314,158000,163000,163000,154500,12555,1978486000,00,0.00,N,5,-2000,
20190313,160000,158000,162500,156000,13668,2190205000,00,0.00,N,2,500,
20190312,159500,158000,162500,157000,24751,3960779500,00,0.00,N,2,3500,
20190311,156000,152500,157000,146500,14978,2267408000,00,0.00,N,2,4000,
20190308,152000,154500,158000,149000,7876,1201619500,00,0.00,N,5,-1500,
20190307,153500,148000,155000,145500,23618,3612885000,00,0.00,N,2,6500,
20190306,147000,143500,148000,142000,10701,1571253500,00,0.00,N,2,4000,
20190305,143000,148000,148500,143000,10726,1561268500,00,0.00,N,5,-5000,
20190304,148000,143500,148500,140500,16202,2336684500,00,0.00,N,2,6500,
20190228,141500,141000,147000,140500,14852,2137957000,00,0.00,N,2,500,
20190227,141000,144500,145500,140000,9677,1371386000,00,0.00,N,5,-3500,
20190226,144500,143000,148500,140500,27971,4037951000,00,0.00,N,2,2500,
20190225,142000,142000,144500,140000,6559,930331500,00,0.00,N,2,1000,
20190222,141000,143000,143000,140000,4466,629134500,00,0.00,N,5,-1500,
