Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2018-03-14,152500,157000,152000,156000,605609,0.016286644951140072,43.33333333333333,0.263157894736842
2018-03-15,156500,159000,155000,157500,367882,0.009615384615384581,50.87719298245614,0.6800554016620498
2018-03-16,158000,159500,156000,157500,351970,0.0,47.16981132075472,0.4751737835153924
2018-03-19,152500,153000,150000,151500,749609,-0.03809523809523807,34.42622950819671,0.0
2018-03-20,150500,153500,150000,152500,311027,0.0066006600660066805,36.507936507936506,0.09360009360009389
2018-03-21,152500,155000,152500,154500,277076,0.013114754098360715,39.39393939393939,0.26702269692923913
2018-03-22,154500,154500,152000,152500,330219,-0.012944983818770184,44.06779661016949,0.51825032246385
2018-03-23,151000,153000,150500,151500,578521,-0.006557377049180357,47.27272727272727,0.6905206942590122
2018-03-26,151000,152500,149500,149500,466599,-0.01320132013201325,35.294117647058826,0.04748663101604338
2018-03-27,150000,154000,149500,154000,683470,0.030100334448160515,52.94117647058823,1.0
2018-03-28,153000,155000,148000,151500,905733,-0.016233766233766267,44.23076923076923,0.5295472756410261
2018-03-29,150500,152000,142500,143500,1532300,-0.05280528052805278,34.32835820895524,0.0
2018-03-30,144000,145500,142500,143500,525910,0.0,34.848484848484844,0.027944539736991666
2018-04-02,144500,148500,144000,148500,569272,0.03484320557491283,43.421052631578945,0.4885178748758685
2018-04-03,147000,152500,145500,152000,2258712,0.023569023569023573,44.871794871794876,0.5664610546686019
2018-04-04,156000,159500,155000,156500,1198367,0.02960526315789469,48.80952380952381,0.7780211141060198
2018-04-05,157000,158000,153500,154000,404008,-0.015974440894568676,46.067415730337075,0.6306974772100908
2018-04-06,155000,155500,152000,152500,377964,-0.009740259740259716,51.24999999999999,0.9091391509433959
2018-04-09,152000,153000,150500,151000,319141,-0.00983606557377048,48.14814814814815,0.7424877707896578
2018-04-10,150000,153000,149000,151000,371422,0.0,45.45454545454546,0.5977701543739281
2018-04-11,150500,152000,150000,150000,329076,-0.0066225165562914245,46.666666666666664,0.662893081761006
2018-04-12,151000,152500,150000,152000,297375,0.01333333333333342,50.649350649350644,0.8768684146042635
2018-04-13,151500,152000,149500,150500,425396,-0.009868421052631526,51.31578947368422,0.9126737835153929
2018-04-16,151000,154000,150000,153000,303065,0.01661129568106312,48.611111111111114,0.8407835581245983
2018-04-17,154000,158000,154000,157500,670905,0.02941176470588225,57.89473684210526,1.0
2018-04-18,158000,159500,157000,158500,507655,0.006349206349206327,74.19354838709677,1.0
2018-04-19,157500,158000,155000,158000,344290,-0.003154574132492094,73.01587301587301,0.9617296113847839
2018-04-20,157000,160000,156500,160000,406412,0.012658227848101333,70.17543859649123,0.8629648875361892
2018-04-23,160000,160000,157000,159500,284140,-0.0031250000000000444,64.70588235294119,0.669867947178872
2018-04-24,161500,165500,161500,162500,644850,0.018808777429467183,62.5,0.5931122448979592
2018-04-25,162000,164000,160000,164000,407673,0.009230769230769154,71.73913043478261,0.9145962732919256
2018-04-26,164000,164000,154500,156500,861668,-0.04573170731707321,56.896551724137936,0.3981351161154118
2018-04-27,155000,161500,154000,158000,887506,0.009584664536741228,62.06896551724138,0.5781140042223787
2018-04-30,159000,160500,157000,160000,351811,0.012658227848101333,64.51612903225806,0.6484375000000001
2018-05-02,159000,160500,157000,160000,377086,0.0,66.66666666666666,0.7057793345008754
2018-05-03,162500,163000,160000,160000,324816,0.0,64.28571428571428,0.6127095321491116
2018-05-04,158000,160000,156500,158000,448848,-0.012499999999999956,63.15789473684211,0.5686238362982766
2018-05-08,158500,161000,154500,156000,595219,-0.012658227848101222,55.35714285714286,0.0
2018-05-09,154500,156000,153500,153500,513770,-0.01602564102564108,42.30769230769231,0.0
2018-05-10,152500,154000,150500,152000,747954,-0.009771986970684043,37.73584905660377,0.0
2018-05-11,152000,154000,151500,153000,319288,0.006578947368421018,40.74074074074074,0.08837063843095218
2018-05-14,153500,154500,150500,151000,439028,-0.013071895424836555,33.33333333333333,0.0
2018-05-15,150000,151500,148000,148500,611470,-0.01655629139072845,31.034482758620683,0.0
2018-05-16,148500,151500,146000,150500,599945,0.013468013468013407,28.57142857142857,0.0
2018-05-17,150500,151000,149500,149500,297968,-0.006644518272425293,23.63636363636364,0.0
2018-05-18,148500,150000,148000,150000,330193,0.0033444816053511683,34.14634146341464,0.24424596358639664
2018-05-21,149500,151000,149000,149000,332251,-0.00666666666666671,27.5,0.08978873239436613
2018-05-23,147000,148500,144000,144500,1062994,-0.030201342281879207,15.555555555555543,0.0
2018-05-24,144000,144500,139000,140000,1387498,-0.03114186851211076,12.962962962962976,0.0
2018-05-25,139500,141000,138500,139000,697859,-0.0071428571428571175,12.5,0.0
2018-05-28,139000,140500,138000,138500,498199,-0.003597122302158251,13.20754716981132,0.016509433962264144
2018-05-29,139500,141000,139000,140000,471953,0.010830324909747224,19.23076923076924,0.22580645161290355
2018-05-30,138500,139500,136000,137500,648596,-0.017857142857142905,19.23076923076924,0.23833543505674687
2018-05-31,139000,140000,137500,139000,835047,0.01090909090909098,25.0,0.4426229508196721
2018-06-01,138500,140000,137500,140000,395619,0.007194244604316502,25.0,0.5774647887323942
2018-06-04,140000,144000,139000,143000,903195,0.021428571428571352,35.185185185185176,1.0
2018-06-05,143500,144000,140500,142500,374748,-0.0034965034965035446,37.99999999999999,1.0
2018-06-07,142000,144000,141500,142500,511413,0.0,32.60869565217391,0.7885763000852515
2018-06-08,142000,142500,140000,141000,539842,-0.010526315789473717,31.914893617021278,0.7613683771380896
2018-06-11,140000,140500,139000,139500,441032,-0.010638297872340385,28.57142857142857,0.6302521008403362
2018-06-12,140000,142000,139500,140500,486396,0.007168458781362075,32.65306122448979,0.7903161264505802
2018-06-14,138500,139000,135000,135000,1036041,-0.039145907473309594,31.372549019607845,0.7400999615532491
2018-06-15,136000,136500,133000,134000,762750,-0.007407407407407418,36.36363636363636,0.9358288770053477
2018-06-18,134500,136500,134500,135000,497745,0.00746268656716409,40.909090909090914,1.0
2018-06-19,134000,135000,131000,131500,781548,-0.025925925925925908,36.0,0.773548387096774
2018-06-20,130500,131500,129000,129500,595333,-0.01520912547528519,29.411764705882348,0.4696394686907015
2018-06-21,129500,130500,127000,127000,608003,-0.019305019305019266,29.411764705882348,0.2773109243697475
2018-06-22,126000,131000,125000,130000,716503,0.023622047244094446,33.33333333333333,0.5238095238095234
2018-06-25,129500,130000,128000,129000,563769,-0.007692307692307665,29.629629629629633,0.08576998050682302
2018-06-26,128000,131000,127500,129500,703936,0.003875968992248069,22.448979591836732,0.0
2018-06-27,129000,130500,125500,127500,935679,-0.015444015444015413,21.15384615384616,0.0
2018-06-28,126000,126500,123000,125000,1101059,-0.019607843137254943,19.298245614035082,0.0
2018-06-29,124500,126000,123500,125500,496503,0.0040000000000000036,21.818181818181827,0.11660516605166114
2018-07-02,125000,125500,123000,123500,428578,-0.015936254980079667,21.42857142857143,0.09857670005271513
2018-07-03,125500,125500,119500,122000,556533,-0.012145748987854255,17.54385964912281,0.0
2018-07-04,120500,122500,118000,119500,510210,-0.020491803278688492,19.607843137254903,0.08833567556715519
