Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2017-12-01,8160,8280,8030,8270,1111328,0.027329192546583947,,
2017-12-04,8210,8300,8070,8280,1205390,0.0012091898428052694,,
2017-12-05,8230,8380,8170,8250,1034696,-0.0036231884057971175,,
2017-12-06,8290,8350,8040,8050,1157685,-0.024242424242424288,,
2017-12-07,8100,8150,7920,8100,1141294,0.006211180124223503,,
2017-12-08,8070,8170,7750,7760,1178137,-0.041975308641975295,,
2017-12-11,7850,8090,7850,8090,846785,0.04252577319587636,,
2017-12-12,8140,8150,7930,8020,589267,-0.008652657601977753,,
2017-12-13,8020,8270,7980,8080,782095,0.007481296758104827,,
2017-12-14,8150,8180,8000,8000,878180,-0.00990099009900991,,
2017-12-15,8040,8150,8000,8100,626178,0.012499999999999956,,
2017-12-18,8000,8090,7890,7910,1226485,-0.023456790123456805,,
2017-12-19,8000,8000,7690,7940,927370,0.0037926675094817064,,
2017-12-20,7970,8080,7880,7980,746503,0.005037783375314797,40.52287581699346,
2017-12-21,7950,8090,7820,7880,745096,-0.01253132832080206,38.036809815950924,
2017-12-22,7880,8080,7870,8050,959942,0.021573604060913798,43.57541899441341,
2017-12-26,8090,8180,7990,8050,1049628,0.0,44.31818181818182,
2017-12-27,8140,8350,8060,8350,1689813,0.037267080745341685,58.064516129032256,
2017-12-28,8410,8530,8250,8350,1869493,0.0,56.90607734806629,
2018-01-02,8420,8480,8270,8460,1176650,0.013173652694610682,72.15189873417722,
2018-01-03,8460,8710,8420,8500,1678788,0.004728132387706863,65.89147286821705,
2018-01-04,8580,8590,8210,8220,1546841,-0.03294117647058825,56.666666666666664,
2018-01-05,8230,8360,8230,8300,1035357,0.009732360097323589,57.23684210526315,
2018-01-08,8310,8320,8050,8100,1446225,-0.02409638554216864,53.04878048780488,
2018-01-09,8150,8300,8050,8110,1092275,0.0012345679012346622,50.322580645161295,
2018-01-10,8130,8280,8110,8220,914730,0.013563501849568338,60.54421768707483,
2018-01-11,8220,8300,8140,8180,964537,-0.0048661800486617945,58.10810810810811,0.5883407878627546
2018-01-12,8180,8220,8070,8210,1315389,0.003667481662591676,57.823129251700685,0.5799873329709757
2018-01-15,8260,8910,8260,8840,5787452,0.07673568818513998,74.0,1.0
2018-01-16,8940,9300,8900,9110,5453881,0.030542986425339258,75.23809523809524,1.0
2018-01-17,9150,9270,9010,9090,2325897,-0.002195389681668547,74.52830188679245,0.9715119931135562
2018-01-18,9200,9420,9110,9200,2226545,0.012101210121012063,72.02072538860104,0.8708688180011882
2018-01-19,9230,9550,9110,9210,3170349,0.0010869565217390686,72.16494845360825,0.8766573022995664
2018-01-22,9290,9380,9110,9240,1593675,0.0032573289902280145,70.96774193548387,0.8286066584463624
2018-01-23,9250,9330,9080,9240,1682890,0.0,70.32967032967034,0.8029972493597649
2018-01-24,9300,9480,9120,9140,2263579,-0.010822510822510845,78.04878048780488,1.0
2018-01-25,9140,9340,9030,9300,1673371,0.017505470459518557,79.06976744186046,1.0
2018-01-26,9430,9470,9230,9280,1516233,-0.0021505376344086446,88.31168831168831,1.0
2018-01-29,9280,9280,9100,9110,1601310,-0.018318965517241326,79.41176470588235,0.7080897267629158
2018-01-30,9060,9070,8860,8920,2006452,-0.020856201975850697,69.66292134831461,0.3883355744467489
2018-01-31,8930,9180,8900,9080,1627529,0.017937219730941756,73.68421052631578,0.520230596775915
2018-02-01,9140,9300,9030,9290,1810130,0.02312775330396466,75.96153846153847,0.33774978933429645
2018-02-02,9290,9300,9090,9240,1387023,-0.005382131324004336,63.333333333333336,0.0
2018-02-05,8950,9040,8810,8830,1836600,-0.044372294372294396,41.463414634146346,0.0
2018-02-06,8450,8690,8250,8660,2983013,-0.01925254813137034,37.988826815642454,0.0
2018-02-07,8810,8820,8350,8350,1450572,-0.035796766743648956,28.643216080402013,0.0
2018-02-08,8350,8820,8340,8650,2056398,0.03592814371257491,37.71929824561404,0.15210850598003273
2018-02-09,8360,8490,8360,8420,1005442,-0.026589595375722586,33.46774193548387,0.08085552846704509
2018-02-12,8540,8620,8440,8460,748631,0.004750593824228044,34.52380952380953,0.09855444967005735
2018-02-13,8560,8570,8310,8310,827313,-0.01773049645390068,33.852140077821005,0.08729776048611093
2018-02-14,8330,8400,8240,8400,858134,0.010830324909747224,32.0,0.05625724598053151
2018-02-19,8450,8650,8440,8630,826823,0.027380952380952284,38.00738007380074,0.18444813269093388
2018-02-20,8670,8670,8390,8430,730648,-0.023174971031286185,37.59124087591241,0.18910274805257143
2018-02-21,8440,8600,8410,8550,601303,0.014234875444839812,43.071161048689135,0.3049124364992038
2018-02-22,8530,8540,8410,8500,395862,-0.005847953216374324,38.671875,0.2119402889819258
2018-02-23,8540,8550,8470,8520,407810,0.0023529411764706687,33.755274261603375,0.14736353134607502
2018-02-26,8180,8200,7690,7800,5146820,-0.08450704225352113,26.31578947368422,0.0
2018-02-27,7960,8050,7880,7900,1403969,0.012820512820512775,32.96703296703298,0.39696186166774444
2018-02-28,7900,7980,7790,7810,798970,-0.011392405063291089,33.9622641509434,0.4563596004439511
2018-03-02,7680,7800,7570,7750,1057461,-0.007682458386683688,37.5,0.6675
2018-03-05,7750,7750,7540,7600,943155,-0.01935483870967747,26.666666666666657,0.02094117647058715
2018-03-06,7720,8020,7710,8010,1340188,0.05394736842105252,41.56378600823045,0.9100363108206246
2018-03-07,8050,8110,7890,7960,1195070,-0.006242197253433224,39.75409836065574,0.8020298939247832
2018-03-08,8020,8140,7970,7970,729782,0.0012562814070351536,42.608695652173914,0.9723989769820974
2018-03-09,7990,8370,7910,8350,1694894,0.04767879548306153,49.03474903474903,1.0
2018-03-12,8380,8440,8260,8340,912729,-0.0011976047904191933,43.881856540084385,0.773189767743786
2018-03-13,8340,8340,8190,8230,621293,-0.013189448441247031,45.6140350877193,0.8494335122242103
2018-03-14,8160,8320,8100,8140,681970,-0.010935601458080146,40.888888888888886,0.6414510037765851
2018-03-15,8140,8250,8080,8190,481350,0.006142506142506221,43.111111111111114,0.7392645597296763
2018-03-16,8250,8250,8050,8150,743858,-0.004884004884004867,41.85022026431718,0.6837650619025479
2018-03-19,8120,8200,8060,8060,490163,-0.011042944785276121,57.92682926829268,1.0
2018-03-20,7980,8090,7950,8010,659530,-0.006203473945409432,53.459119496855344,0.8570797654390658
2018-03-21,8000,8130,7950,7950,647795,-0.0074906367041198685,54.48717948717948,0.8899669900970291
2018-03-22,8010,8100,7980,8000,595964,0.0062893081761006275,58.064516129032256,1.0
2018-03-23,7810,7880,7530,7550,1380362,-0.05625000000000002,48.64864864864865,0.4857644648258369
2018-03-26,7500,7770,7470,7750,851726,0.026490066225165476,42.07317073170732,0.12665316544862218
2018-03-27,7780,7900,7760,7780,750393,0.003870967741935516,44.444444444444436,0.2070116861435723
2018-03-28,7650,7840,7620,7810,618794,0.003856041131105492,45.12195121951219,0.2464575104849545
2018-03-29,7850,7850,7730,7840,358307,0.003841229193341844,30.232558139534888,0.0
2018-03-30,7860,7930,7800,7800,506528,-0.005102040816326481,29.545454545454547,0.0
2018-04-02,7690,7850,7650,7720,565621,-0.01025641025641022,30.232558139534888,0.02409278412148034
2018-04-03,7660,7820,7650,7820,353498,0.012953367875647714,37.69230769230769,0.2856634368202492
2018-04-04,7820,7820,7590,7590,562856,-0.02941176470588236,29.729729729729726,0.006461474327798069
2018-04-05,7660,7760,7580,7600,536113,0.0013175230566535578,31.034482758620683,0.05221168336140387
2018-04-06,7610,7690,7560,7650,318851,0.006578947368421018,35.460992907801426,0.20742401866943816
2018-04-09,7580,7660,7500,7550,527748,-0.013071895424836555,34.24657534246576,0.16484135648131867
2018-04-10,7560,7610,7370,7510,723087,-0.005298013245033095,34.72222222222223,0.1815195658383321
2018-04-11,7590,7610,7500,7540,313117,0.003994673768308976,33.80281690140845,0.22286128345636497
2018-04-12,7540,7600,7390,7400,961448,-0.018567639257294433,43.24324324324324,0.8793882850822354
2018-04-13,7500,7590,7400,7450,959420,0.006756756756756799,34.375,0.31005338078291816
2018-04-16,7410,7510,7400,7490,456294,0.005369127516778427,35.05154639175257,0.353487177605752
2018-04-17,7500,7630,7460,7570,546851,0.010680907877169465,38.23529411764706,0.6343972566605117
2018-04-18,7600,7610,7470,7490,679888,-0.010568031704095149,33.64485981308411,0.29927496752022115
2018-04-19,7460,7570,7430,7470,511400,-0.002670226969292422,34.28571428571429,0.3371428571428578
2018-04-20,7470,7510,7410,7430,426812,-0.0053547523427041055,35.64356435643565,0.43762376237623807
2018-04-23,7440,7630,7440,7610,861195,0.024226110363391617,40.366972477064216,0.7871559633027522
2018-04-24,7660,7720,7440,7440,965586,-0.0223390275952694,42.71844660194174,0.9570147483880528
2018-04-25,7170,7180,6690,6800,3301381,-0.08602150537634412,25.903614457831324,0.0
