체결시각,체결가,전일비,매도,매수,거래량,변동량
15:57,153300,100,0,153300,60785,6
15:40,153300,100,0,0,60779,3
15:30,153300,100,153500,153300,60776,12636
15:19,153600,400,153600,153500,48140,302
15:18,153500,300,153500,153400,47838,326
15:17,153400,200,153400,153300,47512,532
15:16,153200,0,153200,153100,46980,66
15:15,153100,100,153200,153100,46914,123
15:14,153100,100,153100,153000,46791,83
15:13,153000,200,153100,153000,46708,211
15:12,153100,100,153100,153000,46497,687
15:11,153300,100,153400,153300,45810,70
15:10,153400,200,153400,153300,45740,59
15:09,153400,200,153400,153300,45681,177
15:08,153200,0,153300,153200,45504,251
15:07,153300,100,153400,153300,45253,81
15:06,153200,0,153400,153200,45172,949
15:05,153600,400,153700,153600,44223,71
15:04,153600,400,153700,153600,44152,129
15:03,153600,400,153800,153600,44023,339
15:02,153600,400,153700,153600,43684,98
15:01,153600,400,153700,153600,43586,154
15:00,153700,500,153700,153600,43432,128
14:59,153600,400,153700,153600,43304,107
14:58,153700,500,153700,153500,43197,246
14:57,153600,400,153600,153500,42951,33
14:56,153600,400,153600,153500,42918,52
14:55,153600,400,153600,153500,42866,196
14:54,153600,400,153600,153500,42670,32
14:53,153600,400,153600,153500,42638,49
14:52,153500,300,153600,153500,42589,46
14:51,153600,400,153600,153500,42543,313
14:50,153700,500,153700,153600,42230,42
14:49,153700,500,153700,153600,42188,102
14:48,153600,400,153700,153600,42086,55
14:47,153600,400,153700,153600,42031,35
14:46,153700,500,153700,153600,41996,31
14:45,153600,400,153700,153600,41965,17
14:44,153600,400,153700,153600,41948,29
14:43,153600,400,153700,153600,41919,363
14:42,153700,500,153800,153700,41556,8
14:41,153800,600,153800,153700,41548,35
14:40,153800,600,153800,153700,41513,50
14:39,153700,500,153800,153700,41463,228
14:38,153700,500,153800,153700,41235,22
14:37,153700,500,153800,153700,41213,13
14:36,153700,500,153800,153700,41200,234
14:35,153900,700,154000,153800,40966,125
14:34,153800,600,153900,153800,40841,26
14:33,153600,400,153900,153600,40815,31
14:32,153700,500,153900,153600,40784,156
14:31,153700,500,153700,153600,40628,9
14:30,153700,500,153700,153600,40619,30
