체결시각,체결가,전일비,매도,매수,거래량,변동량
15:57,"25,700",100,0,"25,700","544,497",1
15:55,"25,700",100,0,"25,700","544,496",3
15:54,"25,700",100,0,"25,700","544,493",5
15:53,"25,700",100,0,"25,700","544,488",144
15:52,"25,700",100,0,"25,700","544,344",1
15:47,"25,700",100,0,"25,700","544,343",282
15:46,"25,700",100,0,"25,700","544,061","1,000"
15:45,"25,700",100,0,0,"543,061",4
15:44,"25,700",100,0,"25,700","543,057",100
15:43,"25,700",100,0,"25,700","542,957",7
15:42,"25,700",100,0,"25,700","542,950",31
15:40,"25,700",100,0,0,"542,919",61
15:30,"25,700",100,"25,750","25,700","542,858","12,637"
15:19,"25,700",100,"25,750","25,700","530,221","3,485"
15:18,"25,700",100,"25,750","25,700","526,736",422
15:17,"25,750",50,"25,750","25,700","526,314",414
15:16,"25,750",50,"25,750","25,700","525,900","1,172"
15:15,"25,750",50,"25,750","25,700","524,728",424
15:14,"25,700",100,"25,750","25,700","524,304","1,715"
15:13,"25,750",50,"25,800","25,750","522,589",941
15:12,"25,750",50,"25,800","25,750","521,648",612
15:11,"25,750",50,"25,800","25,750","521,036","2,530"
15:10,"25,700",100,"25,750","25,700","518,506","1,571"
15:09,"25,750",50,"25,750","25,700","516,935","2,360"
15:08,"25,700",100,"25,750","25,650","514,575",549
15:07,"25,700",100,"25,750","25,650","514,026","1,983"
15:06,"25,700",100,"25,750","25,700","512,043","1,689"
15:05,"25,700",100,"25,750","25,700","510,354",458
15:04,"25,700",100,"25,750","25,700","509,896",920
15:03,"25,700",100,"25,750","25,700","508,976","1,039"
15:02,"25,700",100,"25,750","25,700","507,937","2,000"
15:01,"25,700",100,"25,750","25,700","505,937","2,168"
15:00,"25,750",50,"25,750","25,700","503,769",976
14:59,"25,750",50,"25,800","25,750","502,793",788
14:58,"25,800",0,"25,800","25,750","502,005",505
14:57,"25,700",100,"25,750","25,700","501,500",418
14:56,"25,750",50,"25,800","25,750","501,082",951
14:55,"25,800",0,"25,800","25,750","500,131",573
14:54,"25,750",50,"25,800","25,750","499,558",327
14:53,"25,750",50,"25,800","25,750","499,231",606
14:52,"25,800",0,"25,800","25,750","498,625",612
14:51,"25,750",50,"25,800","25,750","498,013","1,821"
14:50,"25,800",0,"25,850","25,800","496,192","1,276"
14:49,"25,800",0,"25,850","25,800","494,916",161
14:48,"25,850",50,"25,850","25,800","494,755",101
14:47,"25,850",50,"25,900","25,800","494,654",277
14:46,"25,850",50,"25,900","25,800","494,377","5,081"
14:45,"25,800",0,"25,850","25,800","489,296","1,210"
14:44,"25,900",100,"25,900","25,850","488,086",619
14:43,"25,900",100,"25,950","25,900","487,467","2,468"
14:42,"25,900",100,"25,950","25,900","484,999",113
14:41,"25,950",150,"25,950","25,900","484,886",602
14:40,"26,000",200,"26,000","25,950","484,284","1,663"
14:39,"25,950",150,"26,000","25,950","482,621","1,611"
14:38,"25,950",150,"26,000","25,950","481,010",474
14:37,"25,950",150,"25,950","25,900","480,536",256
14:36,"25,950",150,"25,950","25,900","480,280",761
14:35,"25,950",150,"25,950","25,900","479,519",83
14:34,"25,950",150,"25,950","25,900","479,436",968
14:33,"25,950",150,"26,000","25,950","478,468",409
14:32,"25,950",150,"26,000","25,950","478,059",928
14:31,"26,000",200,"26,000","25,950","477,131",480
14:30,"25,950",150,"26,000","25,950","476,651",773
14:29,"26,000",200,"26,050","26,000","475,878",264
14:28,"26,050",250,"26,050","26,000","475,614",437
14:27,"26,050",250,"26,050","26,000","475,177","1,924"
14:26,"25,950",150,"26,000","25,950","473,253",670
14:25,"25,950",150,"26,000","25,950","472,583","2,344"
14:24,"25,950",150,"26,000","25,950","470,239",548
14:23,"26,000",200,"26,000","25,950","469,691",311
14:22,"26,000",200,"26,000","25,950","469,380","1,473"
14:21,"26,000",200,"26,000","25,950","467,907",392
14:20,"26,000",200,"26,050","25,950","467,515","2,689"
14:19,"26,050",250,"26,050","25,950","464,826","2,372"
14:18,"26,000",200,"26,050","25,950","462,454","2,269"
14:17,"25,950",150,"26,000","25,950","460,185","4,550"
14:16,"26,000",200,"26,050","26,000","455,635","2,390"
14:15,"26,050",250,"26,050","26,000","453,245",972
14:14,"26,050",250,"26,050","26,000","452,273","3,865"
14:13,"26,050",250,"26,050","26,000","448,408","9,798"
14:12,"25,950",150,"26,000","25,950","438,610","5,363"
14:11,"25,850",50,"25,900","25,850","433,247",404
14:10,"25,850",50,"25,900","25,850","432,843",849
