체결시각,체결가,전일비,매도,매수,거래량,변동량
15:57,30400,3800,0,30400,5621790,1
15:56,30400,3800,0,30400,5621789,1
15:55,30400,3800,0,30400,5621788,10
15:54,30400,3800,0,30400,5621778,33
15:53,30400,3800,0,30400,5621745,395
15:52,30400,3800,0,30400,5621350,61
15:51,30400,3800,30400,0,5621289,103
15:49,30400,3800,0,30400,5621186,15
15:48,30400,3800,0,30400,5621171,341
15:47,30400,3800,30400,0,5620830,17
15:46,30400,3800,30400,0,5620813,1292
15:45,30400,3800,0,0,5619521,1936
15:44,30400,3800,30400,0,5617585,1060
15:43,30400,3800,30400,0,5616525,25
15:42,30400,3800,30400,0,5616500,19
15:41,30400,3800,30400,0,5616481,3
15:40,30400,3800,30400,0,5616478,1606
15:30,30400,3800,30400,30350,5614872,47778
15:19,30450,3850,30450,30400,5567094,6481
15:18,30550,3950,30550,30500,5560613,6432
15:17,30500,3900,30550,30500,5554181,7459
15:16,30500,3900,30550,30500,5546722,27568
15:15,30350,3750,30400,30350,5519154,9662
15:14,30300,3700,30350,30300,5509492,3168
15:13,30400,3800,30400,30350,5506324,3811
15:12,30350,3750,30350,30300,5502513,5034
15:11,30300,3700,30350,30300,5497479,1910
15:10,30350,3750,30350,30300,5495569,2259
15:09,30350,3750,30350,30300,5493310,3708
15:08,30300,3700,30300,30250,5489602,14101
15:07,30300,3700,30350,30300,5475501,2190
15:06,30350,3750,30350,30300,5473311,7798
15:05,30400,3800,30450,30400,5465513,1511
15:04,30400,3800,30400,30350,5464002,6358
15:03,30450,3850,30450,30400,5457644,2165
15:02,30450,3850,30500,30450,5455479,3397
15:01,30450,3850,30500,30450,5452082,4227
15:00,30500,3900,30500,30450,5447855,7776
14:59,30500,3900,30500,30450,5440079,2657
14:58,30450,3850,30450,30400,5437422,3926
14:57,30400,3800,30400,30350,5433496,5075
14:56,30300,3700,30350,30300,5428421,2283
14:55,30300,3700,30350,30300,5426138,5762
14:54,30300,3700,30350,30300,5420376,2845
14:53,30300,3700,30350,30300,5417531,5917
14:52,30450,3850,30450,30400,5411614,5078
14:51,30500,3900,30550,30500,5406536,812
14:50,30500,3900,30500,30450,5405724,2197
14:49,30500,3900,30500,30450,5403527,3242
14:48,30450,3850,30500,30450,5400285,1572
14:47,30450,3850,30500,30450,5398713,1831
14:46,30450,3850,30500,30450,5396882,2396
14:45,30500,3900,30500,30450,5394486,1076
14:44,30500,3900,30550,30500,5393410,1487
14:43,30500,3900,30500,30450,5391923,4260
14:42,30500,3900,30500,30400,5387663,3295
14:41,30400,3800,30450,30400,5384368,2276
14:40,30500,3900,30500,30450,5382092,4919
14:39,30350,3750,30400,30350,5377173,1511
14:38,30300,3700,30400,30350,5375662,3466
14:37,30350,3750,30400,30350,5372196,1826
14:36,30350,3750,30400,30350,5370370,4183
14:35,30400,3800,30450,30400,5366187,5119
14:34,30450,3850,30500,30450,5361068,1874
14:33,30500,3900,30500,30450,5359194,2275
14:32,30500,3900,30550,30500,5356919,1471
14:31,30500,3900,30500,30450,5355448,2095
14:30,30500,3900,30500,30450,5353353,4664
14:29,30600,4000,30600,30550,5348689,10373
14:28,30450,3850,30500,30450,5338316,9391
14:27,30350,3750,30400,30350,5328925,1104
14:26,30350,3750,30400,30350,5327821,1566
14:25,30400,3800,30400,30350,5326255,2600
14:24,30400,3800,30400,30350,5323655,2548
14:23,30450,3850,30450,30400,5321107,6016
14:22,30400,3800,30400,30350,5315091,6483
14:21,30400,3800,30400,30350,5308608,910
14:20,30300,3700,30450,30400,5307698,9745
14:19,30300,3700,30300,30250,5297953,1670
14:18,30250,3650,30300,30250,5296283,2595
14:17,30300,3700,30350,30300,5293688,1326
14:16,30350,3750,30350,30300,5292362,6262
14:15,30350,3750,30350,30300,5286100,8212
14:14,30150,3550,30200,30150,5277888,3185
14:13,30100,3500,30150,30100,5274703,16481
14:12,30200,3600,30200,30100,5258222,7391
14:11,30200,3600,30200,30150,5250831,9747
14:10,30200,3600,30200,30150,5241084,17230
14:09,30200,3600,30250,30200,5223854,7345
14:08,30300,3700,30300,30250,5216509,4296
14:07,30400,3800,30400,30350,5212213,9737
14:06,30350,3750,30350,30300,5202476,8220
14:05,30250,3650,30300,30250,5194256,20003
14:04,30450,3850,30450,30400,5174253,4273
14:03,30500,3900,30450,30400,5169980,26049
14:02,30450,3850,30450,30400,5143931,4031
14:01,30450,3850,30500,30450,5139900,5134
14:00,30450,3850,30500,30450,5134766,14120
13:59,30650,4050,30650,30600,5120646,2075
13:58,30650,4050,30650,30600,5118571,1702
13:57,30650,4050,30650,30600,5116869,1587
13:56,30650,4050,30650,30600,5115282,11349
13:55,30600,4000,30650,30600,5103933,2132
13:54,30600,4000,30600,30550,5101801,3018
13:53,30650,4050,30700,30650,5098783,9160
13:52,30600,4000,30650,30600,5089623,5590
13:51,30700,4100,30800,30700,5084033,6651
13:50,30850,4250,30850,30800,5077382,7363
13:49,30750,4150,30800,30750,5070019,11021
13:48,30850,4250,30900,30850,5058998,10309
13:47,31000,4400,31000,30950,5048689,20790
13:46,31150,4550,31150,31100,5027899,36999
13:45,30950,4350,31000,30950,4990900,26959
13:44,30900,4300,30950,30900,4963941,18923
13:43,30850,4250,30850,30800,4945018,1452
13:42,30850,4250,30850,30800,4943566,4489
13:41,30900,4300,30900,30850,4939077,8908
13:40,30850,4250,30850,30800,4930169,2614
13:39,30800,4200,30850,30800,4927555,3921
13:38,30800,4200,30800,30700,4923634,8842
13:37,30850,4250,30850,30800,4914792,17561
13:36,30750,4150,30750,30700,4897231,15508
13:35,30500,3900,30500,30450,4881723,2229
13:34,30500,3900,30550,30500,4879494,1280
13:33,30550,3950,30550,30500,4878214,384
13:32,30500,3900,30500,30450,4877830,1469
13:31,30450,3850,30500,30400,4876361,1444
13:30,30450,3850,30450,30400,4874917,2598
13:29,30400,3800,30450,30400,4872319,1816
13:28,30500,3900,30500,30450,4870503,1080
13:27,30500,3900,30500,30450,4869423,5649
13:26,30500,3900,30500,30450,4863774,11777
13:25,30550,3950,30550,30500,4851997,2304
13:24,30650,4050,30650,30600,4849693,1801
13:23,30650,4050,30650,30600,4847892,5122
13:22,30550,3950,30600,30550,4842770,3320
13:21,30600,4000,30600,30550,4839450,710
13:20,30600,4000,30600,30550,4838740,965
13:19,30550,3950,30600,30550,4837775,1884
13:18,30550,3950,30550,30500,4835891,2743
13:17,30550,3950,30550,30500,4833148,9449
13:16,30450,3850,30500,30450,4823699,5366
13:15,30450,3850,30500,30450,4818333,2279
13:14,30600,4000,30600,30550,4816054,13102
13:13,30550,3950,30550,30500,4802952,2599
13:12,30600,4000,30600,30550,4800353,1644
13:11,30600,4000,30600,30550,4798709,4900
13:10,30550,3950,30550,30500,4793809,3916
13:09,30600,4000,30600,30550,4789893,4716
13:08,30650,4050,30650,30600,4785177,12020
13:07,30600,4000,30600,30550,4773157,9000
13:06,30650,4050,30700,30650,4764157,8682
13:05,30750,4150,30800,30750,4755475,3913
13:04,30800,4200,30800,30750,4751562,2891
13:03,30850,4250,30850,30800,4748671,3874
13:02,30900,4300,30900,30850,4744797,10688
13:01,30850,4250,30850,30800,4734109,5661
13:00,30850,4250,30850,30800,4728448,4386
12:59,30800,4200,30850,30800,4724062,8898
12:58,30800,4200,30800,30750,4715164,8068
12:57,30850,4250,30900,30850,4707096,5915
12:56,30900,4300,30900,30850,4701181,19406
