stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20191129,172000,173000,173500,168500,349615,59658263000,00,0.00,N,5,-1000,
20191128,173000,172500,174500,170000,252885,43684590000,00,0.00,N,2,500,
20191127,172500,175000,175500,172000,299949,52123225000,00,0.00,N,5,-500,
20191126,173000,173500,175500,171500,774461,134331405000,00,0.00,N,5,-1000,
20191125,174000,168000,174500,167000,490795,84213502500,00,0.00,N,2,6500,
20191122,167500,169500,171000,165500,481529,80651860500,00,0.00,N,5,-2500,
20191121,170000,169000,172500,168000,543754,92596944500,00,0.00,N,2,500,
20191120,169500,170500,174000,168000,602206,102547351500,00,0.00,N,5,-1000,
20191119,170500,174500,176000,169500,1055749,182737706000,00,0.00,N,5,-8000,
20191118,178500,177500,181500,172500,876975,155659554500,00,0.00,N,2,5000,
20191115,173500,177000,179000,173000,886846,154997769000,00,0.00,N,5,-6500,
20191114,180000,170000,180000,169500,2042648,356901907000,00,0.00,N,2,22000,
20191113,158000,158500,159000,156000,500221,78810333000,00,0.00,N,5,-4000,
20191112,162000,164000,164000,160000,236652,38250724000,00,0.00,N,5,-1000,
20191111,163000,163500,165000,162500,231149,37853300000,00,0.00,N,5,-500,
20191108,163500,165000,165000,162000,306968,50202718500,00,0.00,N,5,-2000,
20191107,165500,162000,166500,161000,390866,64005639000,00,0.00,N,2,4000,
20191106,161500,161500,164000,160500,332755,53895253500,00,0.00,N,3,0,
20191105,161500,164000,164500,159500,662116,107586558000,00,0.00,N,5,-3000,
20191104,164500,165500,167000,162000,455199,74746326500,00,0.00,N,5,-2500,
20191101,167000,166000,168500,164000,720358,116288980000,00,0.00,N,2,3000,
20191031,164000,159000,167000,157500,1409619,229751213000,00,0.00,N,2,9500,
20191030,154500,152000,154500,151500,290658,44616928000,00,0.00,N,2,1500,
20191029,153000,157500,158000,152000,321007,49321738000,00,0.00,N,5,-4000,
20191028,157000,152500,158000,152500,335238,52158537000,00,0.00,N,2,4500,
20191025,152500,151000,153500,151000,162510,24738588000,00,0.00,N,5,-500,
20191024,153000,151500,153000,150500,224666,34164279000,00,0.00,N,2,500,
20191023,152500,152000,153500,151500,226744,34582492500,00,0.00,N,5,-1500,
20191022,154000,150500,154500,150500,360102,55117376500,00,0.00,N,2,2000,
20191021,152000,151500,153500,149000,245735,37308386000,00,0.00,N,2,1500,
20191018,150500,151500,153500,150000,245740,37261974000,00,0.00,N,5,-2500,
20191017,153000,155000,156500,152000,280276,43158495500,00,0.00,N,5,-1500,
20191016,154500,151500,155000,151000,280882,43202971000,00,0.00,N,2,3000,
20191015,151500,156500,156500,150500,297569,45391080500,00,0.00,N,5,-4500,
