stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20210401,378500,375500,379000,372000,547402,205901007000,00,0.00,N,2,1500,
20210331,377000,379500,383000,377000,568103,215458155500,00,0.00,N,2,500,
20210330,376500,373500,381000,373500,623997,235239849000,00,0.00,N,2,4500,
20210329,372000,383500,384000,372000,878014,329580103500,00,0.00,N,5,-11000,
20210326,383000,380000,383000,377000,691786,263299158000,00,0.00,N,2,3000,
20210325,380000,381500,384000,378000,672585,255541387000,00,0.00,N,5,-7000,
20210324,387000,380000,387000,376000,763754,291327860726,00,0.00,N,2,1000,
20210323,386000,397000,399000,384000,1167110,454596300550,00,0.00,N,5,-10500,
20210322,396500,402500,405500,393000,911358,362038803885,00,0.00,N,5,-5500,
20210319,402000,397000,407500,395000,1258199,505530602611,00,0.00,N,5,-1500,
20210318,403500,388500,410000,386500,1818409,728874584340,00,0.00,N,2,20000,
20210317,383500,388000,391500,380500,1200355,462797585500,00,0.00,N,5,-2000,
20210316,385500,384500,389500,384000,574082,221455755500,00,0.00,N,2,2500,
20210315,383000,382000,385500,377500,609496,232530367000,00,0.00,N,2,2500,
20210312,380500,396000,396000,378500,969276,372893512500,00,0.00,N,2,7000,
20210311,373500,372500,377500,366000,1024741,382286104000,00,0.00,N,2,1500,
20210310,372000,373000,378000,368000,946917,352370460000,00,0.00,N,2,10500,
20210309,361500,366500,371500,350000,1313900,470398395670,00,0.00,N,5,-7000,
20210308,368500,382000,386000,366500,1031748,388037623500,00,0.00,N,5,-9000,
20210305,377500,386000,386500,371000,1594386,599799491864,00,0.00,N,5,-14000,
20210304,391500,392000,401000,389000,1585134,624774261678,00,0.00,N,5,-8000,
20210303,399500,379000,399500,377500,1287551,501969216000,00,0.00,N,2,22000,
20210302,377500,389000,390000,375500,1240322,474654570750,00,0.00,N,2,2500,
20210226,375000,372000,378500,368500,1170208,436567248000,00,0.00,N,5,-8000,
20210225,383000,380500,384500,374500,757476,288003239000,00,0.00,N,2,9000,
20210224,374000,389500,391500,374000,1078485,412846237236,00,0.00,N,5,-16500,
20210223,390500,379000,394500,378500,1017577,393312683500,00,0.00,N,2,4000,
20210222,386500,400000,405500,384500,1289395,507096566332,00,0.00,N,5,-11500,
20210219,398000,387000,398500,385500,1047043,410157072500,00,0.00,N,2,10000,
20210218,388000,391500,400000,386500,1020222,399927379750,00,0.00,N,5,-4000,
20210217,392000,396500,396500,386000,1161595,453918172000,00,0.00,N,5,-2000,
20210216,394000,391500,405000,390000,1567108,624092950750,00,0.00,N,2,8500,
20210215,385500,383500,388000,378000,1172475,449539085000,00,0.00,N,2,19000,
20210210,366500,365000,368500,359000,1147417,419082967500,00,0.00,N,2,8000,
20210209,358500,359500,362000,355000,667655,239484155000,00,0.00,N,2,1000,
20210208,357500,361500,364500,357000,712484,256927949000,00,0.00,N,5,-5000,
20210205,362500,363500,371500,356500,982325,356919905000,00,0.00,N,2,4500,
20210204,358000,368000,368500,356000,1160116,418468427800,00,0.00,N,5,-12500,
20210203,370500,366500,371000,361000,1197680,438797080500,00,0.00,N,2,8000,
20210202,362500,358000,373000,353000,1951062,712826057000,00,0.00,N,2,14500,
20210201,348000,346500,352500,341500,988630,343584358000,00,0.00,N,2,5000,
20210129,343000,362000,362000,340500,1607894,563409149500,00,0.00,N,5,-12000,
20210128,355000,336000,366000,335000,2285696,805428064000,00,0.00,N,2,13500,
20210127,341500,347000,352000,339500,1149246,396931758500,00,0.00,N,5,-500,
20210126,342000,350500,351000,338000,1247284,427933056500,00,0.00,N,5,-7000,
20210125,349000,349000,353000,340000,1593848,554410127400,00,0.00,N,2,5500,
20210122,343500,332000,350000,326000,3303950,1126878299750,00,0.00,N,2,21000,
20210121,322500,316500,326000,316000,1941446,624528226500,00,0.00,N,2,14500,
20210120,308000,313500,313500,302000,885472,271512687500,00,0.00,N,3,0,
20210119,308000,303500,310500,299500,880238,268964782000,00,0.00,N,2,7500,
20210118,300500,304500,308500,300000,864969,261979886500,00,0.00,N,5,-5500,
20210115,306000,320500,323000,305500,1106810,343490363500,00,0.00,N,5,-12000,
20210114,318000,318500,326000,314000,1548585,494982166500,00,0.00,N,2,4000,
20210113,314000,306000,317500,304000,1894304,592380799500,00,0.00,N,2,10000,
20210112,304000,305000,308500,292500,1573299,472267233000,00,0.00,N,5,-5000,
20210111,309000,320000,323500,301000,2765169,864780016750,00,0.00,N,5,-3000,
20210108,312000,293500,312000,290000,3175396,966379748000,00,0.00,N,2,22500,
20210107,289500,288500,292000,286500,1155734,334436364500,00,0.00,N,5,-500,
20210106,290000,292500,300500,289500,1375856,405202285000,00,0.00,N,5,-2500,
20210105,292500,291500,292500,286500,912657,263680870000,00,0.00,N,5,-500,
20210104,293000,291500,294000,285500,947178,274635759500,00,0.00,N,2,500,
20201230,292500,285000,293000,284000,1190327,345787662000,00,0.00,N,2,9500,
20201229,283000,281500,285000,280500,506090,142909061500,02,0.00,N,2,2000,
20201228,281000,282000,282500,280000,537848,151110988500,00,0.00,N,5,-1000,
20201224,282000,284500,284500,280000,453095,127855006000,00,0.00,N,5,-2000,
20201223,284000,288500,289000,283000,508019,144709809500,00,0.00,N,3,0,
20201222,284000,285000,293500,284000,750095,216615913000,00,0.00,N,3,0,
20201221,284000,284000,285500,280000,473545,133982406000,00,0.00,N,2,1500,
20201218,282500,284000,285500,282000,487305,137869096000,00,0.00,N,5,-2500,
20201217,285000,286000,287000,282000,522344,148272877000,00,0.00,N,5,-500,
20201216,285500,286500,287000,283000,381896,108762735000,00,0.00,N,2,2500,
20201215,283000,286500,287500,282500,491995,139876084000,00,0.00,N,5,-3000,
20201214,286000,292500,294000,286000,555272,160307617500,00,0.00,N,5,-4000,
20201211,290000,288000,291500,287500,503588,145874384000,00,0.00,N,2,4000,
20201210,286000,288000,290000,284500,959427,275249175500,00,0.00,N,5,-2000,
20201209,288000,285500,289000,285000,533304,152722372500,00,0.00,N,2,3000,
20201208,285000,291500,291500,285000,566981,162586326000,00,0.00,N,5,-4500,
20201207,289500,300000,300500,288000,821860,240096146500,00,0.00,N,5,-4500,
20201204,294000,287500,295500,284500,1174932,343892230000,00,0.00,N,2,7000,
20201203,287000,285000,287000,283500,740985,211714389000,00,0.00,N,2,3500,
20201202,283500,287000,287000,282000,601596,170365949000,00,0.00,N,5,-2000,
