stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20231201,177300,183200,186500,175400,313544,55792451500,00,0.00,N,5,-7700,
20231130,185000,191800,193500,184000,342504,64026134500,00,0.00,N,5,-6200,
20231129,191200,183000,196600,181500,394295,75038143800,00,0.00,N,2,7200,
20231128,184000,182300,188900,178100,290451,53407453300,00,0.00,N,2,2200,
20231127,181800,172800,183800,169000,255821,45788302200,00,0.00,N,2,9100,
20231124,172700,169000,173300,165100,144531,24566446100,00,0.00,N,2,3200,
20231123,169500,171000,174300,168800,124030,21154858300,00,0.00,N,5,-2000,
20231122,171500,162000,172400,161800,156846,26579125800,00,0.00,N,2,7200,
20231121,164300,164400,172800,163000,176621,29653275600,00,0.00,N,2,700,
20231120,163600,158300,166700,156000,176544,28537168100,00,0.00,N,2,300,
20231117,163300,161800,165000,156500,255886,41375441000,00,0.00,N,2,3600,
20231116,159700,152000,162500,152000,369296,58827789700,00,0.00,N,2,9100,
20231115,150600,147700,151300,143600,196476,29180747100,00,0.00,N,2,7000,
20231114,143600,135700,143700,135700,132565,18752383500,00,0.00,N,2,8900,
20231113,134700,137200,138000,133500,58989,7997686200,00,0.00,N,5,-1200,
20231110,135900,137100,137400,133300,89714,12122921700,00,0.00,N,5,-3900,
20231109,139800,137300,140500,135000,86610,11916833300,00,0.00,N,2,3200,
20231108,136600,141000,141300,136200,123241,16978729300,00,0.00,N,5,-3600,
20231107,140200,146600,146600,138700,140114,19744396600,00,0.00,N,5,-6400,
20231106,146600,143300,148300,142000,177388,25703753400,00,0.00,N,2,6500,
20231103,140100,136100,142700,136100,177068,24625092700,00,0.00,N,2,6800,
20231102,133300,134000,137400,133100,143978,19422632500,00,0.00,N,2,2800,
20231101,130500,132000,134400,130000,107381,14169963300,00,0.00,N,2,500,
20231031,130000,141100,141200,129400,273435,36357427500,00,0.00,N,5,-10000,
20231030,140000,151200,151200,138000,330318,46406413800,00,0.00,N,5,-13900,
20231027,153900,158400,163900,152900,123987,19449052600,00,0.00,N,5,-4500,
20231026,158400,161300,162900,157700,90310,14410124700,00,0.00,N,5,-7600,
20231025,166000,164300,169400,163200,100158,16719954900,00,0.00,N,2,3600,
20231024,162400,160600,163400,154200,68570,10929805400,00,0.00,N,2,3300,
20231023,159100,157000,162100,157000,53162,8519178800,00,0.00,N,2,1200,
20231020,157900,161000,162300,155400,117378,18531695400,00,0.00,N,5,-5400,
20231019,163300,167100,167100,162000,122778,20138200900,00,0.00,N,5,-7100,
20231018,170400,170500,172500,168200,59150,10076688300,00,0.00,N,5,-900,
20231017,171300,173300,174500,169100,67632,11588450200,00,0.00,N,5,-200,
20231016,171500,173000,174200,169500,78617,13447557000,00,0.00,N,5,-5200,
20231013,176700,180200,180200,174200,69254,12211498800,00,0.00,N,5,-3400,
20231012,180100,178500,185400,178000,114333,20764501900,00,0.00,N,2,5400,
20231011,174700,177700,178000,172700,77465,13584526800,00,0.00,N,2,1700,
