stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
20190401,27250,27400,27600,27100,1368303,37311112150,00,0.00,N,5,-150,
20190329,27400,27700,27750,27350,1039060,28545737753,00,0.00,N,5,-400,
20190328,27800,27650,27800,27600,329976,9155377498,00,0.00,N,2,100,
20190327,27700,27650,27700,27500,617345,17075169870,00,0.00,N,2,100,
20190326,27600,27900,27900,27600,533615,14794685050,00,0.00,N,5,-250,
20190325,27850,27900,28250,27800,610307,17070361450,00,0.00,N,5,-100,
20190322,27950,27950,28100,27900,390588,10933398050,00,0.00,N,3,0,
20190321,27950,28200,28300,27950,358356,10062468100,00,0.00,N,5,-200,
20190320,28150,28150,28350,28150,240328,6793914250,00,0.00,N,5,-100,
20190319,28250,28300,28450,28150,269763,7630606300,00,0.00,N,2,50,
20190318,28200,28150,28350,28000,391780,11060817800,00,0.00,N,2,250,
20190315,27950,27750,28150,27750,512649,14366267850,00,0.00,N,2,250,
20190314,27700,27850,28000,27700,951746,26419525000,00,0.00,N,2,50,
20190313,27650,27700,27900,27650,304618,8442964800,00,0.00,N,5,-50,
20190312,27700,27850,28000,27700,430033,11987897850,00,0.00,N,2,50,
20190311,27650,27650,27950,27650,408561,11340362700,00,0.00,N,5,-100,
20190308,27750,27900,27950,27700,535405,14880056450,00,0.00,N,5,-150,
20190307,27900,28100,28150,27900,540772,15149846000,00,0.00,N,5,-100,
20190306,28000,28250,28250,28000,419176,11780808800,00,0.00,N,5,-150,
20190305,28150,28300,28400,28100,535514,15096460900,00,0.00,N,5,-150,
20190304,28300,28400,28550,28300,507664,14424583400,00,0.00,N,5,-150,
20190228,28450,28650,28700,28400,613186,17513315116,00,0.00,N,5,-200,
20190227,28650,28450,28650,28350,328386,9367722200,00,0.00,N,2,350,
20190226,28300,28450,28500,28300,363209,10326438753,00,0.00,N,5,-100,
20190225,28400,28450,28600,28400,362944,10339556400,00,0.00,N,5,-50,
20190222,28450,28300,28500,28200,293987,8347099200,00,0.00,N,2,150,
20190221,28300,28350,28400,28200,420937,11910684950,00,0.00,N,5,-50,
20190220,28350,28400,28500,28300,475578,13487884350,00,0.00,N,5,-50,
20190219,28400,28500,28550,28350,405565,11536642450,00,0.00,N,5,-100,
20190218,28500,28550,28650,28350,545759,15540802000,00,0.00,N,5,-50,
20190215,28550,28400,28550,28300,513796,14607264790,00,0.00,N,3,0,
20190214,28550,28400,28550,28200,1103434,31364971450,00,0.00,N,2,150,
20190213,28400,28500,28600,28350,729827,20754016700,00,0.00,N,5,-50,
20190212,28450,28800,28900,28450,834609,23945697746,00,0.00,N,5,-250,
20190211,28700,28900,28950,28700,278267,8034865710,00,0.00,N,5,-50,
20190208,28750,28700,28950,28650,730266,21407576260,00,0.00,N,2,100,
20190207,28650,28700,28700,28450,416033,11877088196,00,0.00,N,2,50,
20190201,28600,28550,28750,28550,376462,10781437750,00,0.00,N,3,0,
20190131,28600,29000,29000,28600,677756,19460982410,00,0.00,N,5,-300,
20190130,28900,29350,29350,28700,979183,28444796702,00,0.00,N,5,-200,
20190129,29100,29400,29500,29100,491360,14406218560,00,0.00,N,5,-200,
20190128,29300,29150,29500,29000,480158,14095153950,00,0.00,N,2,50,
20190125,29250,29100,29300,29050,533430,15614987945,00,0.00,N,2,50,
20190124,29200,29250,29400,29050,497898,14549424700,00,0.00,N,5,-200,
20190123,29400,29150,29550,29100,398197,11711846000,00,0.00,N,2,300,
20190122,29100,29000,29200,28800,362013,10522934300,00,0.00,N,2,100,
20190121,29000,29300,29350,28900,602200,17491040500,00,0.00,N,5,-300,
20190118,29300,29350,29400,29150,328086,9678621800,00,0.00,N,2,100,
20190117,29200,29250,29400,29100,341463,9993354500,00,0.00,N,5,-50,
20190116,29250,29300,29450,29150,414568,12255137156,00,0.00,N,5,-50,
20190115,29300,29200,29500,29200,381458,11213776600,00,0.00,N,2,100,
20190114,29200,29350,29500,29200,360664,10579400165,00,0.00,N,5,-100,
20190111,29300,29350,29450,29100,498075,14568351600,00,0.00,N,5,-100,
20190110,29400,29650,29750,29250,1146647,33725056800,00,0.00,N,5,-300,
20190109,29700,30150,30300,29700,593734,17764461050,00,0.00,N,5,-500,
20190108,30200,30650,30700,30200,308077,9369948950,00,0.00,N,5,-250,
20190107,30450,30700,30750,30450,362103,11087521730,00,0.00,N,5,-150,
20190104,30600,30550,31000,30550,710749,21933930334,00,0.00,N,2,100,
20190103,30500,30300,31050,30200,799233,24592139196,00,0.00,N,2,100,
20190102,30400,29700,30550,29700,696916,21028275500,00,0.00,N,2,600,
20181228,29800,29550,30050,29350,633383,18877567886,00,0.00,N,2,200,
20181227,29600,29550,29750,29400,607124,17995746680,02,0.00,N,5,-600,
20181226,30200,30350,30450,29900,1004866,30313551500,00,0.00,N,5,-350,
20181224,30550,30650,30700,30400,465230,14239929040,00,0.00,N,5,-50,
20181221,30600,30650,30900,30500,737156,22656889950,00,0.00,N,2,50,
20181220,30550,30900,30900,30350,455812,13981082850,00,0.00,N,5,-300,
20181219,30850,30400,30850,30400,447797,13790962952,00,0.00,N,2,550,
20181218,30300,31100,31250,30300,1012293,31055999275,00,0.00,N,5,-800,
20181217,31100,30900,31200,30750,660836,20559456110,00,0.00,N,2,400,
20181214,30700,30500,30900,30500,763816,23585243833,00,0.00,N,2,350,
20181213,30350,30800,31000,30350,1530650,46671169250,00,0.00,N,5,-450,
20181212,30800,31150,31150,30750,413543,12826397223,00,0.00,N,5,-350,
20181211,31150,30750,31200,30600,652218,20205145300,00,0.00,N,2,250,
20181210,30900,30200,30900,30200,776157,23780620900,00,0.00,N,2,600,
20181207,30300,30350,30600,30150,293462,8913633700,00,0.00,N,5,-100,
20181206,30400,30200,30400,30050,454946,13933266300,00,0.00,N,2,300,
20181205,30100,30050,30400,29950,524994,15896565658,00,0.00,N,2,50,
20181204,30050,30400,30550,30050,335279,10204270954,00,0.00,N,5,-300,
20181203,30350,30450,30800,30200,577616,17663002650,00,0.00,N,5,-150,
